,hpso01 (Ingest) [Nf_max=16384] [Na=32],hpso01 (RCAL) [Nf_max=16384] [Na=32],hpso01 (FastImg) [Nf_max=16384] [Na=32],hpso01 (ICAL) [Nf_max=16384] [Na=32],hpso01 (DPrepA) [Nf_max=16384] [Na=32],hpso01 (DPrepB) [Nf_max=16384] [Na=32],hpso01 (DPrepC) [Nf_max=16384] [Na=32],hpso01 (DPrepD) [Nf_max=16384] [Na=32],hpso02a (Ingest) [Nf_max=16384] [Na=32],hpso02a (RCAL) [Nf_max=16384] [Na=32],hpso02a (FastImg) [Nf_max=16384] [Na=32],hpso02a (ICAL) [Nf_max=16384] [Na=32],hpso02a (DPrepA) [Nf_max=16384] [Na=32],hpso02a (DPrepB) [Nf_max=16384] [Na=32],hpso02a (DPrepC) [Nf_max=16384] [Na=32],hpso02a (DPrepD) [Nf_max=16384] [Na=32],hpso02b (Ingest) [Nf_max=16384] [Na=32],hpso02b (RCAL) [Nf_max=16384] [Na=32],hpso02b (FastImg) [Nf_max=16384] [Na=32],hpso02b (ICAL) [Nf_max=16384] [Na=32],hpso02b (DPrepA) [Nf_max=16384] [Na=32],hpso02b (DPrepB) [Nf_max=16384] [Na=32],hpso02b (DPrepC) [Nf_max=16384] [Na=32],hpso02b (DPrepD) [Nf_max=16384] [Na=32],hpso04a (Ingest) [Na=32],hpso04a (RCAL) [Na=32],hpso04a (FastImg) [Na=32],hpso04a (PSS) [Na=32],hpso05a (Ingest) [Nf_max=16384] [Na=32],hpso05a (RCAL) [Nf_max=16384] [Na=32],hpso05a (FastImg) [Nf_max=16384] [Na=32],hpso05a (PST) [Nf_max=16384] [Na=32],max_low (Ingest) [Nf_max=16384] [Na=32],max_low (RCAL) [Nf_max=16384] [Na=32],max_low (FastImg) [Nf_max=16384] [Na=32],max_low (ICAL) [Nf_max=16384] [Na=32],max_low (DPrepA) [Nf_max=16384] [Na=32],max_low (DPrepA_Image) [Nf_max=16384] [Na=32],max_low (DPrepB) [Nf_max=16384] [Na=32],max_low (DPrepC) [Nf_max=16384] [Na=32],max_low (DPrepD) [Nf_max=16384] [Na=32]
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
Delta W earth4 [lambda],22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,58.001809514676474,58.001809514676474,58.001809514676474,,58.001809514676474,58.001809514676474,58.001809514676474,,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W snapshot4 [lambda],379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,1.660104632481867,,995.7450173095559,995.7450173095559,1.660104632481867,,414.893757212315,414.893757212315,0.6917102635341112,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max4 [lambda],379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,58.001809514676474,,995.7450173095559,995.7450173095559,58.001809514676474,,414.893757212315,414.893757212315,24.167420631115196,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W stack [lambda],(undefined),302.330152208825,22.095921652576994,227.58060994780422,283.3092534767677,235.0324201701395,60.39900216024454,(undefined),(undefined),302.330152208825,22.095921652576994,207.69582864218586,283.3092534767677,235.0324201701395,60.39900216024454,(undefined),(undefined),302.330152208825,22.095921652576994,207.69582864218586,283.3092534767677,235.0324201701395,60.39900216024454,(undefined),(undefined),995.7449841174551,58.001804153872264,(undefined),(undefined),995.7449841174551,58.001804153872264,(undefined),(undefined),307.26966152581593,24.167414233806607,165.18863507003576,181.66172612601184,286.0174334046595,240.07286650240775,319.57459142950523,(undefined)
Delta W theory [lambda],(undefined),244.2373200335436,12.587303150687525,150.58680283337057,227.0680981550898,81.42182316591781,12.587303150687525,(undefined),(undefined),244.2373200335436,12.587303150687525,137.1634901611495,227.0680981550898,81.42182316591781,12.587303150687525,(undefined),(undefined),244.2373200335436,12.587303150687525,137.1634901611495,227.0680981550898,81.42182316591781,12.587303150687525,(undefined),(undefined),855.4679146542821,89.35330487828081,(undefined),(undefined),855.4679146542821,89.35330487828081,(undefined),(undefined),292.0637986379838,15.152462172657435,148.76599551641874,173.60437969053595,271.53942747790006,97.4319468180022,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),1.3888224458448275,0.18455205923435844,1.9954354713889435,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.3888224458448275,0.18455205923435844,2.1399651513253963,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.3888224458448275,0.18455205923435844,2.1399651513253963,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.1195300136541178,0.08981558727294352,(undefined),(undefined),1.1195300136541178,0.08981558727294352,(undefined),(undefined),1.2991205991267918,0.17264561380323334,2.153998756863252,1.9186915624855225,1.372076423794066,2.956984018341332,11.7585840842431,(undefined)
W kernel support pred1 [uv-pixels],,2.3380639453087837,0.5223241974335304,3.3602042988313445,2.4694657265522983,5.326038284555795,21.238659373063957,,,2.3380639453087837,0.5223241974335304,3.603802165169124,2.4694657265522983,5.326038284555795,21.238659373063957,,,2.3380639453087837,0.5223241974335304,3.603802165169124,2.4694657265522983,5.326038284555795,21.238659373063957,,,1.8844614776603903,0.254136932091098,,,1.8844614776603903,0.254136932091098,,,2.186956933422395,0.4886127695866622,3.627456426394172,3.2308660860870924,2.30985365275695,4.981285774550603,19.856457837827552,
W kernel support pred2 [uv-pixels],,3.937727170292986,1.4792330461194296,5.661367598698702,4.15924867338227,8.97917354708604,25.51299992459423,,,3.937727170292986,1.4792330461194296,6.072303885497395,4.15924867338227,8.97917354708604,25.51299992459423,,,3.937727170292986,1.4792330461194296,6.072303885497395,4.15924867338227,8.97917354708604,25.51299992459423,,,3.1731796300291037,0.7193736457952092,,,3.1731796300291037,0.7193736457952092,,,3.683009775305706,1.3836854797576588,6.112210379172714,5.4432046780000025,3.890171817990033,8.397076450289363,33.58605179576777,
W kernel support pred3 [uv-pixels],,6.635709156890493,4.194501294411046,9.545454873089513,7.0095221330206385,15.152998142068903,25.51299992459423,,,6.635709156890493,4.194501294411046,10.239540571350862,7.0095221330206385,15.152998142068903,25.51299992459423,,,6.635709156890493,4.194501294411046,10.239540571350862,7.0095221330206385,15.152998142068903,25.51299992459423,,,5.345906648726479,2.037893113490042,,,5.345906648726479,2.037893113490042,,,6.205935099139055,3.923139052367293,8.679800816613286,8.30298355193301,6.555466380339703,14.168595268363934,56.937380116374186,
W kernel support pred4 [uv-pixels],,9.430463064815218,11.923566523218279,10.952529549130155,9.485786961688115,17.8207406830226,25.51299992459423,,,9.430463064815218,11.923566523218279,10.965847664351976,9.485786961688115,17.8207406830226,25.51299992459423,,,9.430463064815218,11.923566523218279,10.965847664351976,9.485786961688115,17.8207406830226,25.51299992459423,,,9.012723077616798,5.782075314637022,,,9.012723077616798,5.782075314637022,,,8.344132698384186,11.14977515568047,8.679800816613286,8.30298355193301,8.350818565325955,15.822362749252568,79.24274724957121,
AW kernel support pred0 [uv-pixels],(undefined),9.10652665872573,9.001891993496013,9.218555348886136,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.10652665872573,9.001891993496013,9.250916216726162,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.10652665872573,9.001891993496013,9.250916216726162,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.069363122704504,9.000448146604544,(undefined),(undefined),9.069363122704504,9.000448146604544,(undefined),(undefined),9.093278524881747,9.001655764800468,9.254172607238772,9.20224849218674,9.103987791771884,9.473318029324574,14.807575752506388,(undefined)
AW kernel support pred1 [uv-pixels],,9.298738786112494,9.015144068023794,9.606819084894056,9.332644907774883,10.457852734120616,23.066873476157046,,,9.298738786112494,9.015144068023794,9.694709384281596,9.332644907774883,10.457852734120616,23.066873476157046,,,9.298738786112494,9.015144068023794,9.694709384281596,9.332644907774883,10.457852734120616,23.066873476157046,,,9.195172377981068,9.003587372833826,,,9.195172377981068,9.003587372833826,,,9.261899407175845,9.013253709876537,9.703527200218918,9.562347811402162,9.291685740335529,10.286554718064751,21.800892593318814,
AW kernel support pred2 [uv-pixels],,9.823731229408896,9.120752732353388,10.632548287574128,9.91460284262724,12.713204064620756,27.053893715181648,,,9.823731229408896,9.120752732353388,10.856927487914191,9.91460284262724,12.713204064620756,27.053893715181648,,,9.823731229408896,9.120752732353388,10.856927487914191,9.91460284262724,12.713204064620756,27.053893715181648,,,9.543011524903008,9.028704139701594,,,9.543011524903008,9.028704139701594,,,9.724431140431681,9.105744643184991,10.879297574718079,10.518007281163154,9.804766023393107,12.308976111440149,34.77100624411084,
AW kernel support pred3 [uv-pixels],,11.181799319199051,9.92944314192976,13.119287661080856,11.407602751380598,17.624226300565468,27.053893715181648,,,11.181799319199051,9.92944314192976,13.632614977044586,11.407602751380598,17.624226300565468,27.053893715181648,,,11.181799319199051,9.92944314192976,13.632614977044586,11.407602751380598,17.624226300565468,27.053893715181648,,,10.467985379092672,9.227838768748084,,,10.467985379092672,9.227838768748084,,,10.932228979248745,9.817892850515804,12.50355718250133,12.244980027083347,11.134367492757013,16.78538328066133,57.64429941040555,
AW kernel support pred4 [uv-pixels],,13.035859527351624,14.938923610274324,14.175962172796922,13.07593798863134,19.96443834650844,27.053893715181648,,,13.035859527351624,14.938923610274324,14.186254438637906,13.07593798863134,19.96443834650844,27.053893715181648,,,13.035859527351624,14.938923610274324,14.186254438637906,13.07593798863134,19.96443834650844,27.053893715181648,,,12.736921813130767,10.697307836279876,,,12.736921813130767,10.697307836279876,,,12.272919395492018,14.328903866738356,12.50355718250133,12.244980027083347,12.277465972707585,18.202943799532406,79.75219740959758,
W kernel support bw0 [uv-pixels],(undefined),1.3888224458448275,0.18455205923435844,1.9954354713889435,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.3888224458448275,0.18455205923435844,2.1399651513253963,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.3888224458448275,0.18455205923435844,2.1399651513253963,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.1195300136541178,0.08981558727294352,(undefined),(undefined),1.1195300136541178,0.08981558727294352,(undefined),(undefined),1.2991205991267918,0.17264561380323334,2.153998756863252,1.9186915624855225,1.372076423794066,2.956984018341332,11.7585840842431,(undefined)
W kernel support bw1 [uv-pixels],,2.3380639453087837,0.5223241974335304,3.3602042988313445,2.4694657265522983,5.326038284555795,21.238659373063957,,,2.3380639453087837,0.5223241974335304,3.603802165169124,2.4694657265522983,5.326038284555795,21.238659373063957,,,2.3380639453087837,0.5223241974335304,3.603802165169124,2.4694657265522983,5.326038284555795,21.238659373063957,,,1.8844614776603903,0.254136932091098,,,1.8844614776603903,0.254136932091098,,,2.186956933422395,0.4886127695866622,3.627456426394172,3.2308660860870924,2.30985365275695,4.981285774550603,19.856457837827552,
W kernel support bw2 [uv-pixels],,3.937727170292986,1.4792330461194296,5.661367598698702,4.15924867338227,8.97917354708604,25.51299992459423,,,3.937727170292986,1.4792330461194296,6.072303885497395,4.15924867338227,8.97917354708604,25.51299992459423,,,3.937727170292986,1.4792330461194296,6.072303885497395,4.15924867338227,8.97917354708604,25.51299992459423,,,3.1731796300291037,0.7193736457952092,,,3.1731796300291037,0.7193736457952092,,,3.683009775305706,1.3836854797576588,6.112210379172714,5.4432046780000025,3.890171817990033,8.397076450289363,33.58605179576777,
W kernel support bw3 [uv-pixels],,6.635709156890493,4.194501294411046,9.545454873089513,7.0095221330206385,15.152998142068903,25.51299992459423,,,6.635709156890493,4.194501294411046,10.239540571350862,7.0095221330206385,15.152998142068903,25.51299992459423,,,6.635709156890493,4.194501294411046,10.239540571350862,7.0095221330206385,15.152998142068903,25.51299992459423,,,5.345906648726479,2.037893113490042,,,5.345906648726479,2.037893113490042,,,6.205935099139055,3.923139052367293,8.679800816613286,8.30298355193301,6.555466380339703,14.168595268363934,56.937380116374186,
W kernel support bw4 [uv-pixels],,9.430463064815218,11.923566523218279,10.952529549130155,9.485786961688115,17.8207406830226,25.51299992459423,,,9.430463064815218,11.923566523218279,10.965847664351976,9.485786961688115,17.8207406830226,25.51299992459423,,,9.430463064815218,11.923566523218279,10.965847664351976,9.485786961688115,17.8207406830226,25.51299992459423,,,9.012723077616798,5.782075314637022,,,9.012723077616798,5.782075314637022,,,8.344132698384186,11.14977515568047,8.679800816613286,8.30298355193301,8.350818565325955,15.822362749252568,79.24274724957121,
AW kernel support bw0 [uv-pixels],(undefined),9.10652665872573,9.001891993496013,9.218555348886136,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.10652665872573,9.001891993496013,9.250916216726162,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.10652665872573,9.001891993496013,9.250916216726162,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.069363122704504,9.000448146604544,(undefined),(undefined),9.069363122704504,9.000448146604544,(undefined),(undefined),9.093278524881747,9.001655764800468,9.254172607238772,9.20224849218674,9.103987791771884,9.473318029324574,14.807575752506388,(undefined)
AW kernel support bw1 [uv-pixels],,9.298738786112494,9.015144068023794,9.606819084894056,9.332644907774883,10.457852734120616,23.066873476157046,,,9.298738786112494,9.015144068023794,9.694709384281596,9.332644907774883,10.457852734120616,23.066873476157046,,,9.298738786112494,9.015144068023794,9.694709384281596,9.332644907774883,10.457852734120616,23.066873476157046,,,9.195172377981068,9.003587372833826,,,9.195172377981068,9.003587372833826,,,9.261899407175845,9.013253709876537,9.703527200218918,9.562347811402162,9.291685740335529,10.286554718064751,21.800892593318814,
AW kernel support bw2 [uv-pixels],,9.823731229408896,9.120752732353388,10.632548287574128,9.91460284262724,12.713204064620756,27.053893715181648,,,9.823731229408896,9.120752732353388,10.856927487914191,9.91460284262724,12.713204064620756,27.053893715181648,,,9.823731229408896,9.120752732353388,10.856927487914191,9.91460284262724,12.713204064620756,27.053893715181648,,,9.543011524903008,9.028704139701594,,,9.543011524903008,9.028704139701594,,,9.724431140431681,9.105744643184991,10.879297574718079,10.518007281163154,9.804766023393107,12.308976111440149,34.77100624411084,
AW kernel support bw3 [uv-pixels],,11.181799319199051,9.92944314192976,13.119287661080856,11.407602751380598,17.624226300565468,27.053893715181648,,,11.181799319199051,9.92944314192976,13.632614977044586,11.407602751380598,17.624226300565468,27.053893715181648,,,11.181799319199051,9.92944314192976,13.632614977044586,11.407602751380598,17.624226300565468,27.053893715181648,,,10.467985379092672,9.227838768748084,,,10.467985379092672,9.227838768748084,,,10.932228979248745,9.817892850515804,12.50355718250133,12.244980027083347,11.134367492757013,16.78538328066133,57.64429941040555,
AW kernel support bw4 [uv-pixels],,13.035859527351624,14.938923610274324,14.175962172796922,13.07593798863134,19.96443834650844,27.053893715181648,,,13.035859527351624,14.938923610274324,14.186254438637906,13.07593798863134,19.96443834650844,27.053893715181648,,,13.035859527351624,14.938923610274324,14.186254438637906,13.07593798863134,19.96443834650844,27.053893715181648,,,12.736921813130767,10.697307836279876,,,12.736921813130767,10.697307836279876,,,12.272919395492018,14.328903866738356,12.50355718250133,12.244980027083347,12.277465972707585,18.202943799532406,79.75219740959758,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.0018372100931712003,3.0100850166516944,0.002508404180543079,3.0100850166516944,0.17938127305846405,0.14350501844677124,0.08026893377737851,0.05879072298147841,0.0018372100931712003,3.0100850166516944,0.002508404180543079,3.0100850166516944,0.17938127305846405,0.14350501844677124,0.08026893377737851,0.05879072298147841,0.0018372100931712003,3.0100850166516944,0.002508404180543079,3.0100850166516944,0.17938127305846405,0.14350501844677124,0.08026893377737851,0.05879072298147841,0.0018372100931712003,2.9677378969138535,0.00178034089681692,(undefined),0.0018372100931712003,2.9677378969138535,0.00178034089681692,(undefined),0.0018372100931712003,3.0100850166516944,0.002508404180543079,3.0100850166516944,0.2518851496770676,1.2594257483853382,0.20150811974165408,0.0018372100931712003,0.007348840372684801
Snapshot vis size1 [GB],0.0005185282152448002,0.8495566278570805,0.0007079638565475672,0.8495566278570805,0.050627988444584486,0.04050239075566759,0.022654843409522146,0.016592902887833605,0.0005185282152448002,0.8495566278570805,0.0007079638565475672,0.8495566278570805,0.050627988444584486,0.04050239075566759,0.022654843409522146,0.016592902887833605,0.0005185282152448002,0.8495566278570805,0.0007079638565475672,0.8495566278570805,0.050627988444584486,0.04050239075566759,0.022654843409522146,0.016592902887833605,0.0005185282152448002,0.8376047141918782,0.0005024776377971815,,0.0005185282152448002,0.8376047141918782,0.0005024776377971815,,0.0005185282152448002,0.8495566278570805,0.0007079638565475672,0.8495566278570805,0.071091247317978,0.35545623658989006,0.05687299785438241,0.0005185282152448002,0.0020741128609792006
Snapshot vis size2 [GB],0.0005866134884608001,0.9611075394941748,0.000800922949578479,0.9611075394941748,0.05727568923363154,0.04582055138690524,0.025629534386511325,0.018771631630745602,0.0005866134884608001,0.9611075394941748,0.000800922949578479,0.9611075394941748,0.05727568923363154,0.04582055138690524,0.025629534386511325,0.018771631630745602,0.0005866134884608001,0.9611075394941748,0.000800922949578479,0.9611075394941748,0.05727568923363154,0.04582055138690524,0.025629534386511325,0.018771631630745602,0.0005866134884608001,0.9475862815128389,0.00056845539223471,,0.0005866134884608001,0.9475862815128389,0.00056845539223471,,0.0005866134884608001,0.9611075394941748,0.000800922949578479,0.9611075394941748,0.08042587338962896,0.4021293669481449,0.06434069871170317,0.0005866134884608001,0.0023464539538432003
Snapshot vis size3 [GB],0.0007375601161472001,1.2084184942955727,0.0010070154119129772,1.2084184942955727,0.07201379585459558,0.057611036683676474,0.032224493181215265,0.023601923716710403,0.0007375601161472001,1.2084184942955727,0.0010070154119129772,1.2084184942955727,0.07201379585459558,0.057611036683676474,0.032224493181215265,0.023601923716710403,0.0007375601161472001,1.2084184942955727,0.0010070154119129772,1.2084184942955727,0.07201379585459558,0.057611036683676474,0.032224493181215265,0.023601923716710403,0.0007375601161472001,1.1914179636167817,0.0007147296019756496,,0.0007375601161472001,1.1914179636167817,0.0007147296019756496,,0.0007375601161472001,1.2084184942955727,0.0010070154119129772,1.2084184942955727,0.10112095559571962,0.5056047779785982,0.0808967644765757,0.0007375601161472001,0.0029502404645888004
Snapshot vis size4 [GB],0.00028808808697600006,0.47200352170147847,0.0003933362680845654,0.47200352170147847,0.02812830605863476,0.022502644846907807,0.01258676057870609,0.009218818783232002,0.00028808808697600006,0.47200352170147847,0.0003933362680845654,0.47200352170147847,0.02812830605863476,0.022502644846907807,0.01258676057870609,0.009218818783232002,0.00028808808697600006,0.47200352170147847,0.0003933362680845654,0.47200352170147847,0.02812830605863476,0.022502644846907807,0.01258676057870609,0.009218818783232002,0.00028808808697600006,0.4653631811331549,0.00027917057773388176,,0.00028808808697600006,0.4653631811331549,0.00027917057773388176,,0.00028808808697600006,0.47200352170147847,0.0003933362680845654,0.47200352170147847,0.03949744842892493,0.19748724214462463,0.03159795874313994,0.00028808808697600006,0.0011523523479040002
