,hpso01 (Ingest) [Na=128],hpso01 (RCAL) [Na=128],hpso01 (FastImg) [Na=128],hpso01 (ICAL) [Na=128],hpso01 (DPrepA) [Na=128],hpso01 (DPrepB) [Na=128],hpso01 (DPrepC) [Na=128],hpso01 (DPrepD) [Na=128],hpso02a (Ingest) [Na=128],hpso02a (RCAL) [Na=128],hpso02a (FastImg) [Na=128],hpso02a (ICAL) [Na=128],hpso02a (DPrepA) [Na=128],hpso02a (DPrepB) [Na=128],hpso02a (DPrepC) [Na=128],hpso02a (DPrepD) [Na=128],hpso02b (Ingest) [Na=128],hpso02b (RCAL) [Na=128],hpso02b (FastImg) [Na=128],hpso02b (ICAL) [Na=128],hpso02b (DPrepA) [Na=128],hpso02b (DPrepB) [Na=128],hpso02b (DPrepC) [Na=128],hpso02b (DPrepD) [Na=128],hpso04a (Ingest) [Nf_max=32768] [Na=128],hpso04a (RCAL) [Nf_max=32768] [Na=128],hpso04a (FastImg) [Nf_max=32768] [Na=128],hpso04a (PSS) [Nf_max=32768] [Na=128],hpso05a (Ingest) [Nf_max=32768] [Na=128],hpso05a (RCAL) [Nf_max=32768] [Na=128],hpso05a (FastImg) [Nf_max=32768] [Na=128],hpso05a (PST) [Nf_max=32768] [Na=128],max_low (Ingest) [Nf_max=32768] [Na=128],max_low (RCAL) [Nf_max=32768] [Na=128],max_low (FastImg) [Nf_max=32768] [Na=128],max_low (ICAL) [Nf_max=32768] [Na=128],max_low (DPrepA) [Nf_max=32768] [Na=128],max_low (DPrepA_Image) [Nf_max=32768] [Na=128],max_low (DPrepB) [Nf_max=32768] [Na=128],max_low (DPrepC) [Nf_max=32768] [Na=128],max_low (DPrepD) [Nf_max=32768] [Na=128]
-> Degridding Kernel Update [Tera/s],,30.79694084274382,1.0666304748731033,277.1724676130023,28.543061145295365,94.17443886151968,294.8589719291281,,,30.79694084274382,1.0666304748731033,111.43100803242245,28.543061145295365,94.17443886151968,294.8589719291281,,,30.79694084274382,1.0666304748731033,111.43100803242245,28.543061145295365,94.17443886151968,294.8589719291281,,,5.678531244918446,0.027211727253114253,,,5.678531244918446,0.027211727253114253,,,15.201778244970193,0.5884756640885284,197.34219713525547,13.069975421578365,15.188773921568272,45.754222899121984,1558.852065855014,
-> Phase Rotation [Tera/s],,0.0068907688724283885,0.0,0.0620169198518555,0.0,0.011393207324123193,0.0,,,0.0068907688724283885,0.0,0.029532817132535586,0.0,0.011393207324123193,0.0,,,0.0068907688724283885,0.0,0.029532817132535586,0.0,0.011393207324123193,0.0,,,0.001979040943912967,0.0,,,0.001979040943912967,0.0,,,0.004837969090432604,0.0,0.040814916927268075,0.0,0.0,0.007629790302393498,0.0,
-> Reprojection [Tera/s],,0.015072230818811459,,0.13565007736930312,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,,0.06028892327524582,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,,0.06028892327524582,0.03948391513463221,0.2842841889693519,0.5922587270194831,,,0.007614500175658578,,,,0.007614500175658578,,,,0.00754710039176144,,0.06792390352585298,0.019770734336747406,0.0004942683584186851,0.14234928722458132,12.95694845493078,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> Reprojection Predict [Tera/s],,0.0753611540940573,,0.6782503868465156,0.03948391513463221,0.11371367558774076,0.07896783026926442,,,0.0753611540940573,,0.3014446163762291,0.03948391513463221,0.11371367558774076,0.07896783026926442,,,0.0753611540940573,,0.3014446163762291,0.03948391513463221,0.11371367558774076,0.07896783026926442,,,0.038072500878292885,,,,0.038072500878292885,,,,0.037735501958807205,,0.33961951762926484,0.019770734336747406,0.0004942683584186851,0.05693971488983253,0.03954146867349481,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> DFT [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214805,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,295.9314488888889,240.65127520286472,295.9314488888889,123.81832553760486,123.81832553760486,123.81832553760486,295.9314488888889,
-> Subtract Visibility [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214805,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,295.9314488888889,240.65127520286472,295.9314488888889,123.81832553760486,123.81832553760486,123.81832553760486,295.9314488888889,
-> Flag [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,295.9314488888889,240.65127520286472,295.9314488888889,123.81832553760486,123.81832553760486,123.81832553760486,295.9314488888889,240.65127520286472
-> Degrid [Mvis/s],,251.18623374773014,22159.209902302082,251.18623375297892,1584.403633706784,181.37414270805957,33345.22465858705,,,251.18623374773014,22159.209902302082,227.02261971810424,1584.403633706784,181.37414270805957,33345.22465858705,,,251.18623374773014,22159.209902302082,227.02261971810424,1584.403633706784,181.37414270805957,33345.22465858705,,,206.41754494809186,4698.308539825747,,,206.41754494809186,4698.308539825747,,,166.46938330178173,14771.287675525266,468.8287388915323,990.767700082314,1030.4262660278036,115.37974088345418,116666.64933782001,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37070.12688140139,,,
-> Visibility Weighting [Mvis/s],,1.4648743351250826,39.465737241803986,1.4648743351250826,6.016956044713117,1.1987802319153191,22.905199513669288,,,1.4648743351250826,39.465737241803986,1.3672600524322032,6.016956044713117,1.1987802319153191,22.905199513669288,,,1.4648743351250826,39.465737241803986,1.3672600524322032,6.016956044713117,1.1987802319153191,22.905199513669288,,,1.649200786594139,24.18377962893196,,,1.649200786594139,24.18377962893196,,,2.056959647292774,55.41733927403003,3.7791589747470438,8.448941176979005,8.448941176979005,1.6055956023555342,77.09181692844325,
-> Subtract Image Component [Mvis/s],,,,72.09294077875377,336.5106403519791,53.841702456316646,336.5106403519791,,,,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,,,,,,,,,,,141.508132345527,337.00115346728535,337.00115346728535,53.92018455476563,337.00115346728535,
-> Demix [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> FFT [Mvis/s],,0.008490756195931771,0.011006535809541189,0.008490756195931771,0.018344226349235312,0.007337690539694124,0.018344226349235312,,,0.008490756195931771,0.011006535809541189,0.007924705782869653,0.018344226349235312,0.007337690539694124,0.018344226349235312,,,0.008490756195931771,0.011006535809541189,0.007924705782869653,0.018344226349235312,0.007337690539694124,0.018344226349235312,,,0.011948718688361457,0.011063628415149497,,,0.011948718688361457,0.011063628415149497,,,0.008496942197455596,0.011014554700405398,0.011895719076437836,0.018357591167342337,0.018357591167342334,0.007343036466936934,0.018357591167342337,
-> Grid [Mvis/s],,251.18623374773014,22159.209902302082,251.18623375297892,1584.403633706784,181.37414270805957,33345.22465858705,,,251.18623374773014,22159.209902302082,227.02261971810424,1584.403633706784,181.37414270805957,33345.22465858705,,,251.18623374773014,22159.209902302082,227.02261971810424,1584.403633706784,181.37414270805957,33345.22465858705,,,206.41754494809186,4698.308539825747,,,206.41754494809186,4698.308539825747,,,166.46938330178173,14771.287675525266,468.8287388915323,990.767700082314,1030.4262660278036,115.37974088345418,116666.64933782001,
-> Gridding Kernel Update [Mvis/s],,0.09946189161162136,0.7865267907438687,0.09946189161298549,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.09946189161162136,0.7865267907438687,0.0963653340102323,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.09946189161162136,0.7865267907438687,0.0963653340102323,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.11881526154261705,0.6925953318805265,,,0.11881526154261705,0.6925953318805265,,,0.0951145128644575,0.7711112943897042,0.1279236200259466,0.201977698208878,0.21006248525156168,0.09363123942046045,1.3913432790959743,
-> Correct [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,295.9314488888889,240.65127520286472,295.9314488888889,123.81832553760486,123.81832553760486,123.81832553760486,295.9314488888889,240.65127520286472
-> IFFT [Mvis/s],,0.042453780979658864,0.011006535809541189,0.042453780979658864,0.018344226349235312,0.00293507621587765,0.0024458968465647076,,,0.042453780979658864,0.011006535809541189,0.039623528914348276,0.018344226349235312,0.00293507621587765,0.0024458968465647076,,,0.042453780979658864,0.011006535809541189,0.039623528914348276,0.018344226349235312,0.00293507621587765,0.0024458968465647076,,,0.05974359344180729,0.011063628415149497,,,0.05974359344180729,0.011063628415149497,,,0.042484710987277984,0.011014554700405398,0.05947859538218918,0.018357591167342337,0.09178795583671168,0.002937214586774774,5.6022922263617973e-05,
-> Identify Component [Mvis/s],,,,72.09294077875377,336.5106403519791,53.841702456316646,336.5106403519791,,,,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,,,,,,,,,,,141.508132345527,337.00115346728535,337.00115346728535,53.92018455476563,337.00115346728535,
-> Average [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Phase Rotation Predict [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214804,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214804,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214804,88.17784173214805,171.38101084047474,,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,295.9314488888889,240.65127520286472,295.9314488888889,123.81832553760485,123.81832553760486,123.81832553760486,295.9314488888889,
-> Receive [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Solve [Mvis/s],,238.06953120994834,,238.06953120994834,,,,,,238.06953120994834,,158.71510739064578,,,,,,238.06953120994834,,158.71510739064578,,,,,,145.88408149566314,,,,145.88408149566314,,,,295.9314488888889,,295.9314488888889,,,,,
-> Degridding Kernel Update [Mvis/s],,0.09946189161162136,0.7865267907438687,0.09946189161298549,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.09946189161162136,0.7865267907438687,0.0963653340102323,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.09946189161162136,0.7865267907438687,0.0963653340102323,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.11881526154261705,0.6925953318805265,,,0.11881526154261705,0.6925953318805265,,,0.0951145128644575,0.7711112943897042,0.1279236200259466,0.201977698208878,0.21006248525156168,0.09363123942046045,1.3913432790959743,
-> Phase Rotation [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,17.635568346429608,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,17.635568346429608,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,17.635568346429608,88.17784173214805,171.38101084047474,,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,295.9314488888889,240.65127520286472,295.9314488888889,24.76366510752097,123.81832553760486,123.81832553760486,295.9314488888889,
-> Reprojection [Mvis/s],,72.09294077875377,,72.09294077875377,336.5106403519791,53.841702456316646,336.5106403519791,,,72.09294077875377,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,72.09294077875377,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,142.77187829359832,,,,142.77187829359832,,,,72.19802670690154,,141.50813234552703,337.00115346728535,42.12514418341067,53.92018455476563,337.00115346728535,
-> Source Find [Mvis/s],,,,9e-06,,,,,,,,9e-06,,,,,,,,9e-06,,,,,,,,,,,,,,,,9e-06,,,,,
-> Reprojection Predict [Mvis/s],,360.4647038937689,,360.4647038937689,336.5106403519791,21.536680982526658,44.86808538026387,,,360.4647038937689,,314.0048087252386,336.5106403519791,21.536680982526658,44.86808538026387,,,360.4647038937689,,314.0048087252386,336.5106403519791,21.536680982526658,44.86808538026387,,,713.8593914679917,,,,713.8593914679917,,,,360.9901335345077,,707.540661727635,337.00115346728535,42.12514418341067,21.56807382190626,1.0284459029152995,
