,hpso01 (Ingest) [Nf_max=16384] [Na=512],hpso01 (RCAL) [Nf_max=16384] [Na=512],hpso01 (FastImg) [Nf_max=16384] [Na=512],hpso01 (ICAL) [Nf_max=16384] [Na=512],hpso01 (DPrepA) [Nf_max=16384] [Na=512],hpso01 (DPrepB) [Nf_max=16384] [Na=512],hpso01 (DPrepC) [Nf_max=16384] [Na=512],hpso01 (DPrepD) [Nf_max=16384] [Na=512],hpso02a (Ingest) [Nf_max=16384] [Na=512],hpso02a (RCAL) [Nf_max=16384] [Na=512],hpso02a (FastImg) [Nf_max=16384] [Na=512],hpso02a (ICAL) [Nf_max=16384] [Na=512],hpso02a (DPrepA) [Nf_max=16384] [Na=512],hpso02a (DPrepB) [Nf_max=16384] [Na=512],hpso02a (DPrepC) [Nf_max=16384] [Na=512],hpso02a (DPrepD) [Nf_max=16384] [Na=512],hpso02b (Ingest) [Nf_max=16384] [Na=512],hpso02b (RCAL) [Nf_max=16384] [Na=512],hpso02b (FastImg) [Nf_max=16384] [Na=512],hpso02b (ICAL) [Nf_max=16384] [Na=512],hpso02b (DPrepA) [Nf_max=16384] [Na=512],hpso02b (DPrepB) [Nf_max=16384] [Na=512],hpso02b (DPrepC) [Nf_max=16384] [Na=512],hpso02b (DPrepD) [Nf_max=16384] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Nf_max=16384] [Na=512],hpso05a (RCAL) [Nf_max=16384] [Na=512],hpso05a (FastImg) [Nf_max=16384] [Na=512],hpso05a (PST) [Nf_max=16384] [Na=512],max_low (Ingest) [Nf_max=16384] [Na=512],max_low (RCAL) [Nf_max=16384] [Na=512],max_low (FastImg) [Nf_max=16384] [Na=512],max_low (ICAL) [Nf_max=16384] [Na=512],max_low (DPrepA) [Nf_max=16384] [Na=512],max_low (DPrepA_Image) [Nf_max=16384] [Na=512],max_low (DPrepB) [Nf_max=16384] [Na=512],max_low (DPrepC) [Nf_max=16384] [Na=512],max_low (DPrepD) [Nf_max=16384] [Na=512]
-> Subtract Visibility [Tera/s],,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,,,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,,,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,,,0.11270062207639762,0.04056534644544646,,,0.11270062207639762,0.04056534644544646,,,0.11430876501333334,0.05715438250666667,1.02877888512,0.5260972405771668,0.5260972405771668,1.0521944811543336,1.2573964151466666,
-> Subtract Image Component [Tera/s],,,,0.0004906325136331855,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,0.0002180588949480824,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,0.0002180588949480824,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,,,,,,,,,,,0.00028661948102392626,4.805386817959439e-05,4.805386817959439e-05,0.003432419155685313,0.44989404357398544,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> DFT [Tera/s],,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,,,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,,,0.22861753002666668,0.11430876501333334,2.05755777024,0.7493255786477921,1.4986511572955843,2.514792830293333,,,0.11270062207639762,0.04056534644544646,,,0.11270062207639762,0.04056534644544646,,,0.11430876501333334,0.05715438250666667,1.02877888512,0.5260972405771668,0.5260972405771668,1.0521944811543336,1.2573964151466666,
-> Visibility Weighting [Tera/s],,0.0041437903801186384,0.0050638575518127445,0.03729411342106775,0.009496888916882554,0.01899377783376511,0.031988171970087076,,,0.0041437903801186384,0.0050638575518127445,0.025989797189342967,0.009496888916882554,0.01899377783376511,0.031988171970087076,,,0.0041437903801186384,0.0050638575518127445,0.025989797189342967,0.009496888916882554,0.01899377783376511,0.031988171970087076,,,0.0020718951900593192,0.0025319287759063723,,,0.0020718951900593192,0.0025319287759063723,,,0.0020718951900593192,0.0025319287759063723,0.018647056710533873,0.004748444458441277,0.004748444458441277,0.009496888916882554,0.015994085985043538,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> Receive [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Flag [Mvis/s],,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,2381.4326044444447,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,2381.4326044444447,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,2381.4326044444447,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1992.7925779438137,1992.7925779438137,1992.7925779438137,2381.4326044444447,2381.4326044444447
-> Demix [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Average [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37070.12688140139,,,
-> Degridding Kernel Update [Mvis/s],,9.52229265431784,12.087304514127934,9.522292654384584,2.181634610617648,2.578117595882043,4.222187490031739,,,9.52229265431784,12.087304514127934,4.8052488629172645,2.181634610617648,2.578117595882043,4.222187490031739,,,9.52229265431784,12.087304514127934,4.8052488629172645,2.181634610617648,2.578117595882043,4.222187490031739,,,8.201999565985508,11.146967373580413,,,8.201999565985508,11.146967373580413,,,8.608413990280791,11.898713300134746,8.608413990238091,2.1010524410461424,2.1394914466573165,2.413799179944281,9.112454195237236,
-> FFT [Mvis/s],,0.049529411142935346,0.011006535809541189,0.049529411142935346,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.049529411142935346,0.011006535809541189,0.03301960742862356,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.049529411142935346,0.011006535809541189,0.03301960742862356,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.04978632786817274,0.011063628415149497,,,0.04978632786817274,0.011063628415149497,,,0.04956549615182431,0.011014554700405398,0.04956549615182431,0.018357591167342337,0.018357591167342334,0.018357591167342337,0.018357591167342337,
-> IFFT [Mvis/s],,0.24764705571467674,0.011006535809541189,0.24764705571467674,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.24764705571467674,0.011006535809541189,0.1650980371431178,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.24764705571467674,0.011006535809541189,0.1650980371431178,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.24893163934086368,0.011063628415149497,,,0.24893163934086368,0.011063628415149497,,,0.24782748075912156,0.011014554700405398,0.24782748075912156,0.018357591167342337,0.09178795583671168,0.007343036466936933,5.6022922263617973e-05,
-> Solve [Mvis/s],,2381.4326044444447,,2381.4326044444447,,,,,,2381.4326044444447,,2381.4326044444447,,,,,,2381.4326044444447,,2381.4326044444447,,,,,,2347.9296265916178,,,,2347.9296265916178,,,,2381.4326044444447,,2381.4326044444447,,,,,
-> Degrid [Mvis/s],,858708.2369415628,287891.4997415908,858708.2369475815,15242.456887132481,36025.14015311137,242721.41903371594,,,858708.2369415628,287891.4997415908,271799.86945911986,15242.456887132481,36025.14015311137,242721.41903371594,,,858708.2369415628,287891.4997415908,271799.86945911986,15242.456887132481,36025.14015311137,242721.41903371594,,,270209.0135133975,75616.8709119083,,,270209.0135133975,75616.8709119083,,,454779.1424995073,169682.8635507606,454779.14249725145,10306.36012405115,10494.91621475107,23680.973525114183,346355.2621795433,
-> Reprojection [Mvis/s],,2453.1625681659275,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,2453.1625681659275,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,2453.1625681659275,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,2478.678442597193,,,,2478.678442597193,,,,2456.7384087765113,,2456.738408776511,337.00115346728535,42.12514418341067,337.0011534672853,337.00115346728535,
-> Identify Component [Mvis/s],,,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,,,,,,,,,2456.7384087765104,337.00115346728535,337.00115346728535,337.0011534672853,337.00115346728535,
-> Reprojection Predict [Mvis/s],,12265.812840829638,,12265.812840829638,336.5106403519791,134.60425614079162,44.86808538026387,,,12265.812840829638,,5451.4723737020595,336.5106403519791,134.60425614079162,44.86808538026387,,,12265.812840829638,,5451.4723737020595,336.5106403519791,134.60425614079162,44.86808538026387,,,12393.392212985967,,,,12393.392212985967,,,,12283.692043882555,,12283.692043882553,337.00115346728535,42.12514418341067,134.80046138691412,1.0284459029152995,
-> Gridding Kernel Update [Mvis/s],,9.52229265431784,12.087304514127934,9.522292654384584,2.181634610617648,2.578117595882043,4.222187490031739,,,9.52229265431784,12.087304514127934,4.8052488629172645,2.181634610617648,2.578117595882043,4.222187490031739,,,9.52229265431784,12.087304514127934,4.8052488629172645,2.181634610617648,2.578117595882043,4.222187490031739,,,8.201999565985508,11.146967373580413,,,8.201999565985508,11.146967373580413,,,8.608413990280791,11.898713300134746,8.608413990238091,2.1010524410461424,2.1394914466573165,2.413799179944281,9.112454195237236,
-> Phase Rotation Predict [Mvis/s],,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874851,1419.1772322874854,2381.4326044444447,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874851,1419.1772322874854,2381.4326044444447,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874851,1419.1772322874854,2381.4326044444447,,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1992.7925779438135,1992.7925779438137,1992.7925779438137,2381.4326044444447,
-> Correct [Mvis/s],,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,2381.4326044444447,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,2381.4326044444447,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,2381.4326044444447,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1992.7925779438137,1992.7925779438137,1992.7925779438137,2381.4326044444447,2381.4326044444447
-> Grid [Mvis/s],,858708.2369415628,287891.4997415908,858708.2369475815,15242.456887132481,36025.14015311137,242721.41903371594,,,858708.2369415628,287891.4997415908,271799.86945911986,15242.456887132481,36025.14015311137,242721.41903371594,,,858708.2369415628,287891.4997415908,271799.86945911986,15242.456887132481,36025.14015311137,242721.41903371594,,,270209.0135133975,75616.8709119083,,,270209.0135133975,75616.8709119083,,,454779.1424995073,169682.8635507606,454779.14249725145,10306.36012405115,10494.91621475107,23680.973525114183,346355.2621795433,
-> Phase Rotation [Mvis/s],,2381.4326044444447,2381.4326044444447,2381.4326044444447,283.835446457497,1419.1772322874854,2381.4326044444447,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,283.835446457497,1419.1772322874854,2381.4326044444447,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,283.835446457497,1419.1772322874854,2381.4326044444447,,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,398.55851558876276,1992.7925779438137,1992.7925779438137,2381.4326044444447,
-> Subtract Visibility [Mvis/s],,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1992.7925779438137,1992.7925779438137,1992.7925779438137,2381.4326044444447,
-> Subtract Image Component [Mvis/s],,,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,,,,,,,,,2456.7384087765104,337.00115346728535,337.00115346728535,337.0011534672853,337.00115346728535,
-> Source Find [Mvis/s],,,,9e-06,,,,,,,,9e-06,,,,,,,,9e-06,,,,,,,,,,,,,,,,9e-06,,,,,
-> DFT [Mvis/s],,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1419.1772322874854,1419.1772322874854,2381.4326044444447,,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,2381.4326044444447,2381.4326044444447,2381.4326044444447,1992.7925779438137,1992.7925779438137,1992.7925779438137,2381.4326044444447,
-> Visibility Weighting [Mvis/s],,596.636217653029,607.8199480827209,596.636217653029,96.8398279952253,96.8398279952253,341.2865692141593,,,596.636217653029,607.8199480827209,326.50574488189335,96.8398279952253,96.8398279952253,341.2865692141593,,,596.636217653029,607.8199480827209,326.50574488189335,96.8398279952253,96.8398279952253,341.2865692141593,,,430.1238708067749,389.22555560265295,,,430.1238708067749,389.22555560265295,,,710.5095059510915,783.6101251513041,710.5095059510915,135.98138398224478,135.98138398224478,135.98138398224478,620.3766685107796,
