,hpso01 (Ingest) [Na=256],hpso01 (RCAL) [Na=256],hpso01 (FastImg) [Na=256],hpso01 (ICAL) [Na=256],hpso01 (DPrepA) [Na=256],hpso01 (DPrepB) [Na=256],hpso01 (DPrepC) [Na=256],hpso01 (DPrepD) [Na=256],hpso02a (Ingest) [Na=256],hpso02a (RCAL) [Na=256],hpso02a (FastImg) [Na=256],hpso02a (ICAL) [Na=256],hpso02a (DPrepA) [Na=256],hpso02a (DPrepB) [Na=256],hpso02a (DPrepC) [Na=256],hpso02a (DPrepD) [Na=256],hpso02b (Ingest) [Na=256],hpso02b (RCAL) [Na=256],hpso02b (FastImg) [Na=256],hpso02b (ICAL) [Na=256],hpso02b (DPrepA) [Na=256],hpso02b (DPrepB) [Na=256],hpso02b (DPrepC) [Na=256],hpso02b (DPrepD) [Na=256],hpso04a (Ingest) [Nf_max=8192] [Na=256],hpso04a (RCAL) [Nf_max=8192] [Na=256],hpso04a (FastImg) [Nf_max=8192] [Na=256],hpso04a (PSS) [Nf_max=8192] [Na=256],hpso05a (Ingest) [Nf_max=8192] [Na=256],hpso05a (RCAL) [Nf_max=8192] [Na=256],hpso05a (FastImg) [Nf_max=8192] [Na=256],hpso05a (PST) [Nf_max=8192] [Na=256],max_low (Ingest) [Nf_max=8192] [Na=256],max_low (RCAL) [Nf_max=8192] [Na=256],max_low (FastImg) [Nf_max=8192] [Na=256],max_low (ICAL) [Nf_max=8192] [Na=256],max_low (DPrepA) [Nf_max=8192] [Na=256],max_low (DPrepA_Image) [Nf_max=8192] [Na=256],max_low (DPrepB) [Nf_max=8192] [Na=256],max_low (DPrepC) [Nf_max=8192] [Na=256],max_low (DPrepD) [Nf_max=8192] [Na=256]
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W snapshot4 [lambda],379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,1.660104632481867,,995.7450173095559,995.7450173095559,1.660104632481867,,414.893757212315,414.893757212315,0.6917102635341112,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max4 [lambda],379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,58.001809514676474,,995.7450173095559,995.7450173095559,58.001809514676474,,414.893757212315,414.893757212315,24.167420631115196,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W stack [lambda],(undefined),14.387986262500243,22.095923508166468,14.387986264339537,9.146582550047059,14.458903476220128,14.093238648842892,(undefined),(undefined),14.387986262500243,22.095923508166468,5.667670279356167,9.146582550047059,14.458903476220128,14.093238648842892,(undefined),(undefined),14.387986262500243,22.095923508166468,5.667670279356167,9.146582550047059,14.458903476220128,14.093238648842892,(undefined),(undefined),84.89655102822407,58.00180373836942,(undefined),(undefined),84.89655102822407,58.00180373836942,(undefined),(undefined),11.993969093969303,24.16741602966058,11.99396909425437,9.643189398948799,10.090082323051718,15.107530775744967,59.284223705309394,(undefined)
Delta W theory [lambda],(undefined),30.708349873065497,12.587303150687525,30.708349873065497,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),30.708349873065497,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),30.708349873065497,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),23.371898624330846,15.152462172657435,23.371898624330846,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),4.486979012157623,0.18455205923435844,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,(undefined),(undefined),4.486979012157623,0.18455205923435844,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,(undefined),(undefined),4.486979012157623,0.18455205923435844,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),4.786320475774315,0.17264561380323334,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,11.7585840842431,(undefined)
W kernel support pred1 [uv-pixels],,4.486979012157623,0.5223241974335304,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,0.5223241974335304,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,0.5223241974335304,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.008180143218087,0.254136932091098,,,4.008180143218087,0.254136932091098,,,4.786320475774315,0.4886127695866622,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,19.856457837827552,
W kernel support pred2 [uv-pixels],,4.486979012157623,1.4792330461194296,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,1.4792330461194296,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,1.4792330461194296,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.008180143218087,0.7193736457952092,,,4.008180143218087,0.7193736457952092,,,4.786320475774315,1.3836854797576588,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,21.972923224780455,
W kernel support pred3 [uv-pixels],,4.486979012157623,4.194501294411046,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,4.194501294411046,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,4.194501294411046,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.008180143218087,2.037893113490042,,,4.008180143218087,2.037893113490042,,,4.786320475774315,3.923139052367293,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,21.972923224780455,
W kernel support pred4 [uv-pixels],,4.486979012157623,11.923567279216867,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,11.923567279216867,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,11.923567279216867,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.008180143218087,5.782075283442528,,,4.008180143218087,5.782075283442528,,,4.786320475774315,11.14977578103947,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,21.972923224780455,
AW kernel support pred0 [uv-pixels],(undefined),10.05648947971125,9.001891993496013,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,(undefined),(undefined),10.05648947971125,9.001891993496013,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,(undefined),(undefined),10.05648947971125,9.001891993496013,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),10.193569722958511,9.001655764800468,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,14.807575752506388,(undefined)
AW kernel support pred1 [uv-pixels],,10.05648947971125,9.015144068023794,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.015144068023794,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.015144068023794,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,9.852182908395871,9.003587372833826,,,9.852182908395871,9.003587372833826,,,10.193569722958511,9.013253709876537,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,21.800892593318814,
AW kernel support pred2 [uv-pixels],,10.05648947971125,9.120752732353388,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.120752732353388,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.120752732353388,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,9.852182908395871,9.028704139701594,,,9.852182908395871,9.028704139701594,,,10.193569722958511,9.105744643184991,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,23.744670034390793,
AW kernel support pred3 [uv-pixels],,10.05648947971125,9.92944314192976,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.92944314192976,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.92944314192976,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,9.852182908395871,9.227838768748084,,,9.852182908395871,9.227838768748084,,,10.193569722958511,9.817892850515804,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,23.744670034390793,
AW kernel support pred4 [uv-pixels],,10.05648947971125,14.938924213677875,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,14.938924213677875,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,14.938924213677875,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,9.852182908395871,10.697307819418725,,,9.852182908395871,10.697307819418725,,,10.193569722958511,14.328904353350058,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,23.744670034390793,
W kernel support bw0 [uv-pixels],(undefined),4.486979012157623,0.18455205923435844,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,(undefined),(undefined),4.486979012157623,0.18455205923435844,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,(undefined),(undefined),4.486979012157623,0.18455205923435844,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),4.786320475774315,0.17264561380323334,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,11.7585840842431,(undefined)
W kernel support bw1 [uv-pixels],,4.486979012157623,0.5223241974335304,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,0.5223241974335304,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,0.5223241974335304,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.008180143218087,0.254136932091098,,,4.008180143218087,0.254136932091098,,,4.786320475774315,0.4886127695866622,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,19.856457837827552,
W kernel support bw2 [uv-pixels],,4.486979012157623,1.4792330461194296,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,1.4792330461194296,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,1.4792330461194296,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.008180143218087,0.7193736457952092,,,4.008180143218087,0.7193736457952092,,,4.786320475774315,1.3836854797576588,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,21.972923224780455,
W kernel support bw3 [uv-pixels],,4.486979012157623,4.194501294411046,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,4.194501294411046,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,4.194501294411046,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.008180143218087,2.037893113490042,,,4.008180143218087,2.037893113490042,,,4.786320475774315,3.923139052367293,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,21.972923224780455,
W kernel support bw4 [uv-pixels],,4.486979012157623,11.923567279216867,4.486979012589333,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,11.923567279216867,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.486979012157623,11.923567279216867,10.369323187480871,6.131447023349975,8.658502217637247,8.49287054190345,,,4.008180143218087,5.782075283442528,,,4.008180143218087,5.782075283442528,,,4.786320475774315,11.14977578103947,4.786320475859946,5.577931723618805,5.7715073013582625,7.822885433880899,21.972923224780455,
AW kernel support bw0 [uv-pixels],(undefined),10.05648947971125,9.001891993496013,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,(undefined),(undefined),10.05648947971125,9.001891993496013,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,(undefined),(undefined),10.05648947971125,9.001891993496013,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),10.193569722958511,9.001655764800468,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,14.807575752506388,(undefined)
AW kernel support bw1 [uv-pixels],,10.05648947971125,9.015144068023794,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.015144068023794,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.015144068023794,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,9.852182908395871,9.003587372833826,,,9.852182908395871,9.003587372833826,,,10.193569722958511,9.013253709876537,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,21.800892593318814,
AW kernel support bw2 [uv-pixels],,10.05648947971125,9.120752732353388,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.120752732353388,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.120752732353388,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,9.852182908395871,9.028704139701594,,,9.852182908395871,9.028704139701594,,,10.193569722958511,9.105744643184991,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,23.744670034390793,
AW kernel support bw3 [uv-pixels],,10.05648947971125,9.92944314192976,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.92944314192976,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,9.92944314192976,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,9.852182908395871,9.227838768748084,,,9.852182908395871,9.227838768748084,,,10.193569722958511,9.817892850515804,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,23.744670034390793,
AW kernel support bw4 [uv-pixels],,10.05648947971125,14.938924213677875,10.056489479903867,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,14.938924213677875,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,10.05648947971125,14.938924213677875,13.730362827195371,10.890116739509603,12.488781391826393,12.374524234956729,,,9.852182908395871,10.697307819418725,,,9.852182908395871,10.697307819418725,,,10.193569722958511,14.328904353350058,10.19356972299872,10.588357866702138,10.691599343860192,11.924660855203635,23.744670034390793,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.06045013854950401,99.04150699950736,0.08253458916625614,99.04150699950736,9.904150699950735,7.923320559960589,2.641106853320196,1.9344044335841284,0.06045013854950401,99.04150699950736,0.08253458916625614,99.04150699950736,9.904150699950735,7.923320559960589,2.641106853320196,1.9344044335841284,0.06045013854950401,99.04150699950736,0.08253458916625614,99.04150699950736,9.904150699950735,7.923320559960589,2.641106853320196,1.9344044335841284,0.06045013854950401,99.04150699950736,0.08253458916625614,(undefined),0.06045013854950401,99.04150699950736,0.08253458916625614,(undefined),0.06045013854950401,99.04150699950736,0.08253458916625614,99.04150699950736,9.904150699950735,49.52075349975368,7.923320559960589,0.06045013854950401,0.24180055419801605
Snapshot vis size1 [GB],0.017061250953216003,27.953153561749097,0.023294294634790914,27.953153561749097,2.7953153561749096,2.2362522849399276,0.7454174283133091,0.5459600305029121,0.017061250953216003,27.953153561749097,0.023294294634790914,27.953153561749097,2.7953153561749096,2.2362522849399276,0.7454174283133091,0.5459600305029121,0.017061250953216003,27.953153561749097,0.023294294634790914,27.953153561749097,2.7953153561749096,2.2362522849399276,0.7454174283133091,0.5459600305029121,0.017061250953216003,27.953153561749097,0.023294294634790914,,0.017061250953216003,27.953153561749097,0.023294294634790914,,0.017061250953216003,27.953153561749097,0.023294294634790914,27.953153561749097,2.7953153561749096,13.976576780874549,2.2362522849399276,0.017061250953216003,0.06824500381286401
Snapshot vis size2 [GB],0.019301476071936004,31.62353839625995,0.02635294866354996,31.62353839625995,3.1623538396259945,2.529883071700796,0.8432943572335985,0.6176472343019521,0.019301476071936004,31.62353839625995,0.02635294866354996,31.62353839625995,3.1623538396259945,2.529883071700796,0.8432943572335985,0.6176472343019521,0.019301476071936004,31.62353839625995,0.02635294866354996,31.62353839625995,3.1623538396259945,2.529883071700796,0.8432943572335985,0.6176472343019521,0.019301476071936004,31.62353839625995,0.02635294866354996,,0.019301476071936004,31.62353839625995,0.02635294866354996,,0.019301476071936004,31.62353839625995,0.02635294866354996,31.62353839625995,3.1623538396259945,15.811769198129975,2.529883071700796,0.019301476071936004,0.07720590428774401
Snapshot vis size3 [GB],0.024268107047424003,39.76086658649949,0.03313405548874957,39.76086658649949,3.9760866586499484,3.1808693269199586,1.060289775639986,0.7765794255175681,0.024268107047424003,39.76086658649949,0.03313405548874957,39.76086658649949,3.9760866586499484,3.1808693269199586,1.060289775639986,0.7765794255175681,0.024268107047424003,39.76086658649949,0.03313405548874957,39.76086658649949,3.9760866586499484,3.1808693269199586,1.060289775639986,0.7765794255175681,0.024268107047424003,39.76086658649949,0.03313405548874957,,0.024268107047424003,39.76086658649949,0.03313405548874957,,0.024268107047424003,39.76086658649949,0.03313405548874957,39.76086658649949,3.9760866586499484,19.880433293249745,3.1808693269199586,0.024268107047424003,0.09707242818969601
Snapshot vis size4 [GB],0.009479027377920002,15.530438455984129,0.01294203204665344,15.530438455984129,1.5530438455984128,1.2424350764787302,0.41414502549291005,0.30332887609344006,0.009479027377920002,15.530438455984129,0.01294203204665344,15.530438455984129,1.5530438455984128,1.2424350764787302,0.41414502549291005,0.30332887609344006,0.009479027377920002,15.530438455984129,0.01294203204665344,15.530438455984129,1.5530438455984128,1.2424350764787302,0.41414502549291005,0.30332887609344006,0.009479027377920002,15.530438455984129,0.01294203204665344,,0.009479027377920002,15.530438455984129,0.01294203204665344,,0.009479027377920002,15.530438455984129,0.01294203204665344,15.530438455984129,1.5530438455984128,7.765219227992064,1.2424350764787302,0.009479027377920002,0.03791610951168001
Facet size [GB],(undefined),1.1304173114108593,0.9691506442136999,1.1304173114108593,2.6920851228158327,2.6920851228158327,2.6920851228158327,(undefined),(undefined),1.1304173114108593,0.9691506442136999,8.722355797923296,2.6920851228158327,2.6920851228158327,2.6920851228158327,(undefined),(undefined),1.1304173114108593,0.9691506442136999,8.722355797923296,2.6920851228158327,2.6920851228158327,2.6920851228158327,(undefined),(undefined),1.1421750263487866,0.9792309896680268,(undefined),(undefined),1.1421750263487866,0.9792309896680268,(undefined),(undefined),1.7688516543190878,0.9705633219857813,1.7688516543190878,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,(undefined)
Image size [GB],2.692085122815833,19.625300545327423,0.9691506442136997,19.625300545327423,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.6960092277382826,19.653907270212073,0.9705633219857817,19.653907270212073,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826
Image cube size [GB],1411427.9248708675,6280.096174504775,155.06410307419196,6280.096174504775,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),706742.6429962243,3144.6251632339317,77.64506575886253,3144.6251632339317,215.68073821906262,215.68073821906262,5392.018455476566,706742.6429962243,176685.6607490561
Calibration output [GB],0.0,1.179648,0.0,5.9392,0.0,0.0,0.0,0.0,0.0,1.179648,0.0,5.9392,0.0,0.0,0.0,0.0,0.0,1.179648,0.0,5.9392,0.0,0.0,0.0,0.0,0.0,0.1572864,0.0,(undefined),0.0,0.1572864,0.0,(undefined),0.0,1.4155776,0.0,9.9581952,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,25.06752,0.0,7833.6,0.0,0.0,0.0,0.0,0.0,25.06752,0.0,7833.6,0.0,0.0,0.0,0.0,0.0,25.06752,0.0,7833.6,0.0,0.0,0.0,0.0,0.0,41.7792,0.0,(undefined),0.0,41.7792,0.0,(undefined),0.0,17.905371428571428,0.0,7744.0731428571435,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.131072,0.0,40.96,0.0,0.0,0.0,0.0,0.0,0.131072,0.0,40.96,0.0,0.0,0.0,0.0,0.0,0.131072,0.0,40.96,0.0,0.0,0.0,0.0,0.0,0.21845333333333333,0.0,(undefined),0.0,0.21845333333333333,0.0,(undefined),0.0,0.09362285714285715,0.0,40.491885714285715,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.009184640655213232,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.0028347656343250716,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),0.0028347656343250716,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.012877240043442957,0.0012266841986209188,0.0012266841986209188,0.08762029990149418,11.484567948688646,(undefined)
