,hpso01 (Ingest) [Na=32],hpso01 (RCAL) [Na=32],hpso01 (FastImg) [Na=32],hpso01 (ICAL) [Na=32],hpso01 (DPrepA) [Na=32],hpso01 (DPrepB) [Na=32],hpso01 (DPrepC) [Na=32],hpso01 (DPrepD) [Na=32],hpso02a (Ingest) [Na=32],hpso02a (RCAL) [Na=32],hpso02a (FastImg) [Na=32],hpso02a (ICAL) [Na=32],hpso02a (DPrepA) [Na=32],hpso02a (DPrepB) [Na=32],hpso02a (DPrepC) [Na=32],hpso02a (DPrepD) [Na=32],hpso02b (Ingest) [Na=32],hpso02b (RCAL) [Na=32],hpso02b (FastImg) [Na=32],hpso02b (ICAL) [Na=32],hpso02b (DPrepA) [Na=32],hpso02b (DPrepB) [Na=32],hpso02b (DPrepC) [Na=32],hpso02b (DPrepD) [Na=32],hpso04a (Ingest) [Nf_max=32768] [Na=32],hpso04a (RCAL) [Nf_max=32768] [Na=32],hpso04a (FastImg) [Nf_max=32768] [Na=32],hpso04a (PSS) [Nf_max=32768] [Na=32],hpso05a (Ingest) [Nf_max=32768] [Na=32],hpso05a (RCAL) [Nf_max=32768] [Na=32],hpso05a (FastImg) [Nf_max=32768] [Na=32],hpso05a (PST) [Nf_max=32768] [Na=32],max_low (Ingest) [Nf_max=32768] [Na=32],max_low (RCAL) [Nf_max=32768] [Na=32],max_low (FastImg) [Nf_max=32768] [Na=32],max_low (ICAL) [Nf_max=32768] [Na=32],max_low (DPrepA) [Nf_max=32768] [Na=32],max_low (DPrepA_Image) [Nf_max=32768] [Na=32],max_low (DPrepB) [Nf_max=32768] [Na=32],max_low (DPrepC) [Nf_max=32768] [Na=32],max_low (DPrepD) [Nf_max=32768] [Na=32]
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
Delta W earth4 [lambda],22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,58.001809514676474,58.001809514676474,58.001809514676474,,58.001809514676474,58.001809514676474,58.001809514676474,,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W snapshot4 [lambda],379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,1.660104632481867,,995.7450173095559,995.7450173095559,1.660104632481867,,414.893757212315,414.893757212315,0.6917102635341112,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max4 [lambda],379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,58.001809514676474,,995.7450173095559,995.7450173095559,58.001809514676474,,414.893757212315,414.893757212315,24.167420631115196,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W stack [lambda],(undefined),272.9952663766253,22.095921648435507,162.42252108313633,283.3092534767677,235.0324201701395,59.79363544903366,(undefined),(undefined),272.9952663766253,22.095921648435507,207.69582864218586,283.3092534767677,235.0324201701395,59.79363544903366,(undefined),(undefined),272.9952663766253,22.095921648435507,207.69582864218586,283.3092534767677,235.0324201701395,59.79363544903366,(undefined),(undefined),995.7449841174551,58.001804153872264,(undefined),(undefined),995.7449841174551,58.001804153872264,(undefined),(undefined),231.66138430681036,24.16741422358625,165.18863507003576,181.66172612601184,286.0174334046595,240.07286650240775,266.39165217903826,(undefined)
Delta W theory [lambda],(undefined),210.5231995941903,12.587303150687525,124.36448458761114,227.0680981550898,81.42182316591781,12.587303150687525,(undefined),(undefined),210.5231995941903,12.587303150687525,137.1634901611495,227.0680981550898,81.42182316591781,12.587303150687525,(undefined),(undefined),210.5231995941903,12.587303150687525,137.1634901611495,227.0680981550898,81.42182316591781,12.587303150687525,(undefined),(undefined),855.4679146542821,89.35330487828081,(undefined),(undefined),855.4679146542821,89.35330487828081,(undefined),(undefined),180.1125029416239,15.152462172657435,148.76599551641874,173.60437969053595,271.53942747790006,97.4319468180022,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),1.552404893815042,0.18455205923435844,2.302825103591136,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.552404893815042,0.18455205923435844,2.1399651513253963,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.552404893815042,0.18455205923435844,2.1399651513253963,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.1195300136541178,0.08981558727294352,(undefined),(undefined),1.1195300136541178,0.08981558727294352,(undefined),(undefined),1.8664999397613022,0.17264561380323334,2.153998756863252,1.9186915624855225,1.372076423794066,2.956984018341332,11.7585840842431,(undefined)
W kernel support pred1 [uv-pixels],,2.613653892421283,0.5223241974335304,3.878323616818725,2.4694657265522983,5.326038284555795,21.238659373063957,,,2.613653892421283,0.5223241974335304,3.603802165169124,2.4694657265522983,5.326038284555795,21.238659373063957,,,2.613653892421283,0.5223241974335304,3.603802165169124,2.4694657265522983,5.326038284555795,21.238659373063957,,,1.8844614776603903,0.254136932091098,,,1.8844614776603903,0.254136932091098,,,3.1429104038832887,0.4886127695866622,3.627456426394172,3.2308660860870924,2.30985365275695,4.981285774550603,19.856457837827552,
W kernel support pred2 [uv-pixels],,4.402347625526108,1.4792330461194296,6.535474582459891,4.15924867338227,8.97917354708604,25.318900160513675,,,4.402347625526108,1.4792330461194296,6.072303885497395,4.15924867338227,8.97917354708604,25.318900160513675,,,4.402347625526108,1.4792330461194296,6.072303885497395,4.15924867338227,8.97917354708604,25.318900160513675,,,3.1731796300291037,0.7193736457952092,,,3.1731796300291037,0.7193736457952092,,,5.294853777386596,1.3836854797576588,6.112210379172714,5.4432046780000025,3.890171817990033,8.397076450289363,33.58605179576777,
W kernel support pred3 [uv-pixels],,7.419797927163804,4.194501294411046,9.80496551756768,7.0095221330206385,15.152998142068903,25.318900160513675,,,7.419797927163804,4.194501294411046,10.239540571350862,7.0095221330206385,15.152998142068903,25.318900160513675,,,7.419797927163804,4.194501294411046,10.239540571350862,7.0095221330206385,15.152998142068903,25.318900160513675,,,5.345906648726479,2.037893113490042,,,5.345906648726479,2.037893113490042,,,8.926515991482718,3.923139052367293,8.679800816613286,8.30298355193301,6.555466380339703,14.168595268363934,56.937380116374186,
W kernel support pred4 [uv-pixels],,9.76455027759953,11.923566521530965,9.80496551756768,9.485786961688115,17.8207406830226,25.318900160513675,,,9.76455027759953,11.923566521530965,10.965847664351976,9.485786961688115,17.8207406830226,25.318900160513675,,,9.76455027759953,11.923566521530965,10.965847664351976,9.485786961688115,17.8207406830226,25.318900160513675,,,9.012723077616798,5.782075314637022,,,9.012723077616798,5.782075314637022,,,9.701658334876498,11.149775152121498,8.679800816613286,8.30298355193301,8.350818565325955,15.822362749252568,68.93121119817299,
AW kernel support pred0 [uv-pixels],(undefined),9.132905395017563,9.001891993496013,9.289940982467517,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.132905395017563,9.001891993496013,9.250916216726162,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.132905395017563,9.001891993496013,9.250916216726162,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.069363122704504,9.000448146604544,(undefined),(undefined),9.069363122704504,9.000448146604544,(undefined),(undefined),9.191508147476613,9.001655764800468,9.254172607238772,9.20224849218674,9.103987791771884,9.473318029324574,14.807575752506388,(undefined)
AW kernel support pred1 [uv-pixels],,9.371829419562058,9.015144068023794,9.800071126107907,9.332644907774883,10.457852734120616,23.066873476157046,,,9.371829419562058,9.015144068023794,9.694709384281596,9.332644907774883,10.457852734120616,23.066873476157046,,,9.371829419562058,9.015144068023794,9.694709384281596,9.332644907774883,10.457852734120616,23.066873476157046,,,9.195172377981068,9.003587372833826,,,9.195172377981068,9.003587372833826,,,9.532989342637379,9.013253709876537,9.703527200218918,9.562347811402162,9.291685740335529,10.286554718064751,21.800892593318814,
AW kernel support pred2 [uv-pixels],,10.019015151998493,9.120752732353388,11.1226088674366,9.91460284262724,12.713204064620756,26.870926767382983,,,10.019015151998493,9.120752732353388,10.856927487914191,9.91460284262724,12.713204064620756,26.870926767382983,,,10.019015151998493,9.120752732353388,10.856927487914191,9.91460284262724,12.713204064620756,26.870926767382983,,,9.543011524903008,9.028704139701594,,,9.543011524903008,9.028704139701594,,,10.442005388042332,9.105744643184991,10.879297574718079,10.518007281163154,9.804766023393107,12.308976111440149,34.77100624411084,
AW kernel support pred3 [uv-pixels],,11.664193125970794,9.92944314192976,13.30929557868076,11.407602751380598,17.624226300565468,26.870926767382983,,,11.664193125970794,9.92944314192976,13.632614977044586,11.407602751380598,17.624226300565468,26.870926767382983,,,11.664193125970794,9.92944314192976,13.632614977044586,11.407602751380598,17.624226300565468,26.870926767382983,,,10.467985379092672,9.227838768748084,,,10.467985379092672,9.227838768748084,,,12.676067518998025,9.817892850515804,12.50355718250133,12.244980027083347,11.134367492757013,16.78538328066133,57.64429941040555,
AW kernel support pred4 [uv-pixels],,13.279549771124362,14.938923608927588,13.30929557868076,13.07593798863134,19.96443834650844,26.870926767382983,,,13.279549771124362,14.938923608927588,14.186254438637906,13.07593798863134,19.96443834650844,26.870926767382983,,,13.279549771124362,14.938923608927588,14.186254438637906,13.07593798863134,19.96443834650844,26.870926767382983,,,12.736921813130767,10.697307836279876,,,12.736921813130767,10.697307836279876,,,13.233373509679177,14.328903863969007,12.50355718250133,12.244980027083347,12.277465972707585,18.202943799532406,69.51627059363244,
W kernel support bw0 [uv-pixels],(undefined),1.552404893815042,0.18455205923435844,2.302825103591136,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.552404893815042,0.18455205923435844,2.1399651513253963,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.552404893815042,0.18455205923435844,2.1399651513253963,1.4668214505751274,3.161399749960686,12.574818499158333,(undefined),(undefined),1.1195300136541178,0.08981558727294352,(undefined),(undefined),1.1195300136541178,0.08981558727294352,(undefined),(undefined),1.8664999397613022,0.17264561380323334,2.153998756863252,1.9186915624855225,1.372076423794066,2.956984018341332,11.7585840842431,(undefined)
W kernel support bw1 [uv-pixels],,2.613653892421283,0.5223241974335304,3.878323616818725,2.4694657265522983,5.326038284555795,21.238659373063957,,,2.613653892421283,0.5223241974335304,3.603802165169124,2.4694657265522983,5.326038284555795,21.238659373063957,,,2.613653892421283,0.5223241974335304,3.603802165169124,2.4694657265522983,5.326038284555795,21.238659373063957,,,1.8844614776603903,0.254136932091098,,,1.8844614776603903,0.254136932091098,,,3.1429104038832887,0.4886127695866622,3.627456426394172,3.2308660860870924,2.30985365275695,4.981285774550603,19.856457837827552,
W kernel support bw2 [uv-pixels],,4.402347625526108,1.4792330461194296,6.535474582459891,4.15924867338227,8.97917354708604,25.318900160513675,,,4.402347625526108,1.4792330461194296,6.072303885497395,4.15924867338227,8.97917354708604,25.318900160513675,,,4.402347625526108,1.4792330461194296,6.072303885497395,4.15924867338227,8.97917354708604,25.318900160513675,,,3.1731796300291037,0.7193736457952092,,,3.1731796300291037,0.7193736457952092,,,5.294853777386596,1.3836854797576588,6.112210379172714,5.4432046780000025,3.890171817990033,8.397076450289363,33.58605179576777,
W kernel support bw3 [uv-pixels],,7.419797927163804,4.194501294411046,9.80496551756768,7.0095221330206385,15.152998142068903,25.318900160513675,,,7.419797927163804,4.194501294411046,10.239540571350862,7.0095221330206385,15.152998142068903,25.318900160513675,,,7.419797927163804,4.194501294411046,10.239540571350862,7.0095221330206385,15.152998142068903,25.318900160513675,,,5.345906648726479,2.037893113490042,,,5.345906648726479,2.037893113490042,,,8.926515991482718,3.923139052367293,8.679800816613286,8.30298355193301,6.555466380339703,14.168595268363934,56.937380116374186,
W kernel support bw4 [uv-pixels],,9.76455027759953,11.923566521530965,9.80496551756768,9.485786961688115,17.8207406830226,25.318900160513675,,,9.76455027759953,11.923566521530965,10.965847664351976,9.485786961688115,17.8207406830226,25.318900160513675,,,9.76455027759953,11.923566521530965,10.965847664351976,9.485786961688115,17.8207406830226,25.318900160513675,,,9.012723077616798,5.782075314637022,,,9.012723077616798,5.782075314637022,,,9.701658334876498,11.149775152121498,8.679800816613286,8.30298355193301,8.350818565325955,15.822362749252568,68.93121119817299,
AW kernel support bw0 [uv-pixels],(undefined),9.132905395017563,9.001891993496013,9.289940982467517,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.132905395017563,9.001891993496013,9.250916216726162,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.132905395017563,9.001891993496013,9.250916216726162,9.118748004406488,9.53910102572834,15.463701377315028,(undefined),(undefined),9.069363122704504,9.000448146604544,(undefined),(undefined),9.069363122704504,9.000448146604544,(undefined),(undefined),9.191508147476613,9.001655764800468,9.254172607238772,9.20224849218674,9.103987791771884,9.473318029324574,14.807575752506388,(undefined)
AW kernel support bw1 [uv-pixels],,9.371829419562058,9.015144068023794,9.800071126107907,9.332644907774883,10.457852734120616,23.066873476157046,,,9.371829419562058,9.015144068023794,9.694709384281596,9.332644907774883,10.457852734120616,23.066873476157046,,,9.371829419562058,9.015144068023794,9.694709384281596,9.332644907774883,10.457852734120616,23.066873476157046,,,9.195172377981068,9.003587372833826,,,9.195172377981068,9.003587372833826,,,9.532989342637379,9.013253709876537,9.703527200218918,9.562347811402162,9.291685740335529,10.286554718064751,21.800892593318814,
AW kernel support bw2 [uv-pixels],,10.019015151998493,9.120752732353388,11.1226088674366,9.91460284262724,12.713204064620756,26.870926767382983,,,10.019015151998493,9.120752732353388,10.856927487914191,9.91460284262724,12.713204064620756,26.870926767382983,,,10.019015151998493,9.120752732353388,10.856927487914191,9.91460284262724,12.713204064620756,26.870926767382983,,,9.543011524903008,9.028704139701594,,,9.543011524903008,9.028704139701594,,,10.442005388042332,9.105744643184991,10.879297574718079,10.518007281163154,9.804766023393107,12.308976111440149,34.77100624411084,
AW kernel support bw3 [uv-pixels],,11.664193125970794,9.92944314192976,13.30929557868076,11.407602751380598,17.624226300565468,26.870926767382983,,,11.664193125970794,9.92944314192976,13.632614977044586,11.407602751380598,17.624226300565468,26.870926767382983,,,11.664193125970794,9.92944314192976,13.632614977044586,11.407602751380598,17.624226300565468,26.870926767382983,,,10.467985379092672,9.227838768748084,,,10.467985379092672,9.227838768748084,,,12.676067518998025,9.817892850515804,12.50355718250133,12.244980027083347,11.134367492757013,16.78538328066133,57.64429941040555,
AW kernel support bw4 [uv-pixels],,13.279549771124362,14.938923608927588,13.30929557868076,13.07593798863134,19.96443834650844,26.870926767382983,,,13.279549771124362,14.938923608927588,14.186254438637906,13.07593798863134,19.96443834650844,26.870926767382983,,,13.279549771124362,14.938923608927588,14.186254438637906,13.07593798863134,19.96443834650844,26.870926767382983,,,12.736921813130767,10.697307836279876,,,12.736921813130767,10.697307836279876,,,13.233373509679177,14.328903863969007,12.50355718250133,12.244980027083347,12.277465972707585,18.202943799532406,69.51627059363244,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.0036744201863424006,4.843077891903393,0.0029053542343811804,4.843077891903393,0.17938127305846405,0.14350501844677124,0.09297133550019777,0.01702355996707723,0.0036744201863424006,4.843077891903393,0.0029053542343811804,3.2287610422386916,0.17938127305846405,0.14350501844677124,0.09297133550019777,0.01702355996707723,0.0036744201863424006,4.843077891903393,0.0029053542343811804,3.2287610422386916,0.17938127305846405,0.14350501844677124,0.09297133550019777,0.01702355996707723,0.0036744201863424006,2.9677378969138535,0.00178034089681692,(undefined),0.0036744201863424006,2.9677378969138535,0.00178034089681692,(undefined),0.0036744201863424006,6.020170033303389,0.004079665524150067,6.020170033303389,0.2518851496770676,1.2594257483853382,0.20150811974165408,0.0036744201863424006,0.0119521450902834
Snapshot vis size1 [GB],0.0010370564304896003,1.3668945892004758,0.0008199977517036276,1.3668945892004758,0.050627988444584486,0.04050239075566759,0.026239928054516082,0.004804674326388443,0.0010370564304896003,1.3668945892004758,0.0008199977517036276,0.911275039750154,0.050627988444584486,0.04050239075566759,0.026239928054516082,0.004804674326388443,0.0010370564304896003,1.3668945892004758,0.0008199977517036276,0.911275039750154,0.050627988444584486,0.04050239075566759,0.026239928054516082,0.004804674326388443,0.0010370564304896003,0.8376047141918782,0.0005024776377971815,,0.0010370564304896003,0.8376047141918782,0.0005024776377971815,,0.0010370564304896003,1.699113255714161,0.0011514315596763657,1.699113255714161,0.071091247317978,0.35545623658989006,0.05687299785438241,0.0010370564304896003,0.003373334647489353
Snapshot vis size2 [GB],0.0011732269769216001,1.546374487935108,0.000927667439330731,1.546374487935108,0.05727568923363154,0.04582055138690524,0.029685358058583394,0.005435551402328503,0.0011732269769216001,1.546374487935108,0.000927667439330731,1.030929878642612,0.05727568923363154,0.04582055138690524,0.029685358058583394,0.005435551402328503,0.0011732269769216001,1.546374487935108,0.000927667439330731,1.030929878642612,0.05727568923363154,0.04582055138690524,0.029685358058583394,0.005435551402328503,0.0011732269769216001,0.9475862815128389,0.00056845539223471,,0.0011732269769216001,0.9475862815128389,0.00056845539223471,,0.0011732269769216001,1.9222150789883496,0.0013026201161044461,1.9222150789883496,0.08042587338962896,0.4021293669481449,0.06434069871170317,0.0011732269769216001,0.0038162698713997446
Snapshot vis size3 [GB],0.0014751202322944002,1.9442855804784331,0.0011663736306064694,1.9442855804784331,0.07201379585459558,0.057611036683676474,0.03732395617940702,0.006834220491834783,0.0014751202322944002,1.9442855804784331,0.0011663736306064694,1.2962074278693902,0.07201379585459558,0.057611036683676474,0.03732395617940702,0.006834220491834783,0.0014751202322944002,1.9442855804784331,0.0011663736306064694,1.2962074278693902,0.07201379585459558,0.057611036683676474,0.03732395617940702,0.006834220491834783,0.0014751202322944002,1.1914179636167817,0.0007147296019756496,,0.0014751202322944002,1.1914179636167817,0.0007147296019756496,,0.0014751202322944002,2.4168369885911454,0.0016378086474802846,2.4168369885911454,0.10112095559571962,0.5056047779785982,0.0808967644765757,0.0014751202322944002,0.004798267521914897
Snapshot vis size4 [GB],0.0005761761739520001,0.7594303178173281,0.00045558096294025745,0.7594303178173281,0.02812830605863476,0.022502644846907807,0.014578590814088238,0.002669419704728071,0.0005761761739520001,0.7594303178173281,0.00045558096294025745,0.506293534647212,0.02812830605863476,0.022502644846907807,0.014578590814088238,0.002669419704728071,0.0005761761739520001,0.7594303178173281,0.00045558096294025745,0.506293534647212,0.02812830605863476,0.022502644846907807,0.014578590814088238,0.002669419704728071,0.0005761761739520001,0.4653631811331549,0.00027917057773388176,,0.0005761761739520001,0.4653631811331549,0.00027917057773388176,,0.0005761761739520001,0.9440070434029569,0.0006397216304890029,0.9440070434029569,0.03949744842892493,0.19748724214462463,0.03159795874313994,0.0005761761739520001,0.001874184464323251
Facet size [GB],(undefined),0.16722149577083717,0.9691506442136999,0.28260432785271483,0.15506410307419197,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.16722149577083717,0.9691506442136999,0.2563304561022356,0.15506410307419197,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.16722149577083717,0.9691506442136999,0.2563304561022356,0.15506410307419197,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.28554375658719666,0.9792309896680268,(undefined),(undefined),0.28554375658719666,0.9792309896680268,(undefined),(undefined),0.23389773941409425,0.9705633219857813,0.28301626469105406,0.24264083049644541,0.15529013151772508,0.43136147643812517,2.6960092277382826,(undefined)
Image size [GB],2.692085122815833,19.625300545327423,0.9691506442136997,19.625300545327423,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.6960092277382826,19.653907270212073,0.9705633219857817,19.653907270212073,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826
Image cube size [GB],1411427.9248708675,6280.096174504775,155.06410307419196,6280.096174504775,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),706742.6429962243,3144.6251632339317,77.64506575886253,3144.6251632339317,215.68073821906262,215.68073821906262,5392.018455476566,706742.6429962243,176685.6607490561
