,hpso01 (Ingest) [Nf_max=65536] [Na=128],hpso01 (RCAL) [Nf_max=65536] [Na=128],hpso01 (FastImg) [Nf_max=65536] [Na=128],hpso01 (ICAL) [Nf_max=65536] [Na=128],hpso01 (DPrepA) [Nf_max=65536] [Na=128],hpso01 (DPrepB) [Nf_max=65536] [Na=128],hpso01 (DPrepC) [Nf_max=65536] [Na=128],hpso01 (DPrepD) [Nf_max=65536] [Na=128],hpso02a (Ingest) [Nf_max=65536] [Na=128],hpso02a (RCAL) [Nf_max=65536] [Na=128],hpso02a (FastImg) [Nf_max=65536] [Na=128],hpso02a (ICAL) [Nf_max=65536] [Na=128],hpso02a (DPrepA) [Nf_max=65536] [Na=128],hpso02a (DPrepB) [Nf_max=65536] [Na=128],hpso02a (DPrepC) [Nf_max=65536] [Na=128],hpso02a (DPrepD) [Nf_max=65536] [Na=128],hpso02b (Ingest) [Nf_max=65536] [Na=128],hpso02b (RCAL) [Nf_max=65536] [Na=128],hpso02b (FastImg) [Nf_max=65536] [Na=128],hpso02b (ICAL) [Nf_max=65536] [Na=128],hpso02b (DPrepA) [Nf_max=65536] [Na=128],hpso02b (DPrepB) [Nf_max=65536] [Na=128],hpso02b (DPrepC) [Nf_max=65536] [Na=128],hpso02b (DPrepD) [Nf_max=65536] [Na=128],hpso04a (Ingest) [Nf_max=65536] [Na=128],hpso04a (RCAL) [Nf_max=65536] [Na=128],hpso04a (FastImg) [Nf_max=65536] [Na=128],hpso04a (PSS) [Nf_max=65536] [Na=128],hpso05a (Ingest) [Na=128],hpso05a (RCAL) [Na=128],hpso05a (FastImg) [Na=128],hpso05a (PST) [Na=128],max_low (Ingest) [Na=128],max_low (RCAL) [Na=128],max_low (FastImg) [Na=128],max_low (ICAL) [Na=128],max_low (DPrepA) [Na=128],max_low (DPrepA_Image) [Na=128],max_low (DPrepB) [Na=128],max_low (DPrepC) [Na=128],max_low (DPrepD) [Na=128]
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
Delta W earth4 [lambda],22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,58.001809514676474,58.001809514676474,58.001809514676474,,58.001809514676474,58.001809514676474,58.001809514676474,,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W snapshot4 [lambda],379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,1.660104632481867,,995.7450173095559,995.7450173095559,1.660104632481867,,414.893757212315,414.893757212315,0.6917102635341112,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max4 [lambda],379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,58.001809514676474,,995.7450173095559,995.7450173095559,58.001809514676474,,414.893757212315,414.893757212315,24.167420631115196,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W stack [lambda],(undefined),35.49743401362722,22.09592097279379,35.49743401558532,15.261664007615378,64.21850313486605,21.95156143929418,(undefined),(undefined),35.49743401362722,22.09592097279379,37.37802221451525,15.261664007615378,64.21850313486605,21.95156143929418,(undefined),(undefined),35.49743401362722,22.09592097279379,37.37802221451525,15.261664007615378,64.21850313486605,21.95156143929418,(undefined),(undefined),147.41001599570558,58.00180403590105,(undefined),(undefined),147.41001599570558,58.00180403590105,(undefined),(undefined),24.918324110261583,24.16741341406574,24.91832040731968,15.495930532327867,16.417567813010436,65.15633606945177,60.583581953133816,(undefined)
Delta W theory [lambda],(undefined),60.68043225776623,12.587303150687525,60.68043225776623,12.587303150687525,81.42182316591781,12.587303150687525,(undefined),(undefined),60.68043225776623,12.587303150687525,69.73379694066615,12.587303150687525,81.42182316591781,12.587303150687525,(undefined),(undefined),60.68043225776623,12.587303150687525,69.73379694066615,12.587303150687525,81.42182316591781,12.587303150687525,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),213.49087800652876,89.35330487828081,(undefined),(undefined),36.810035269866255,15.152462172657435,36.810035269866255,15.152462172657435,15.152462172657435,97.4319468180022,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),3.937727170292986,0.18455205923435844,3.937727170292986,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.937727170292986,0.18455205923435844,3.5494459083025345,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.937727170292986,0.18455205923435844,3.5494459083025345,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),5.93156618511112,0.17264561380323334,5.931565521231261,7.974018251050769,8.329011413319515,2.956984018341332,11.7585840842431,(undefined)
W kernel support pred1 [uv-pixels],,5.335669435091367,0.5223241974335304,5.3356694353129805,9.018600732211581,5.326038284555795,11.864705149137563,,,5.335669435091367,0.5223241974335304,4.999770481503318,9.018600732211581,5.326038284555795,11.864705149137563,,,5.335669435091367,0.5223241974335304,4.999770481503318,9.018600732211581,5.326038284555795,11.864705149137563,,,5.345906648726479,0.254136932091098,,,5.345906648726479,0.254136932091098,,,5.93156618511112,0.4886127695866622,5.931565521231261,7.974018251050769,8.329011413319515,4.981285774550603,19.856457837827552,
W kernel support pred2 [uv-pixels],,5.335669435091367,1.4792330461194296,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,1.4792330461194296,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,1.4792330461194296,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,0.7193736457952092,,,6.072251803891379,0.7193736457952092,,,5.93156618511112,1.3836854797576588,5.931565521231261,7.974018251050769,8.329011413319515,5.915210267506719,22.336743293503208,
W kernel support pred3 [uv-pixels],,5.335669435091367,4.194501294411046,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,4.194501294411046,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,4.194501294411046,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,2.037893113490042,,,6.072251803891379,2.037893113490042,,,5.93156618511112,3.923139052367293,5.931565521231261,7.974018251050769,8.329011413319515,5.915210267506719,22.336743293503208,
W kernel support pred4 [uv-pixels],,5.335669435091367,11.923566246263082,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,11.923566246263082,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,11.923566246263082,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,5.7820753057801575,,,6.072251803891379,5.7820753057801575,,,5.93156618511112,11.149774870227228,5.931565521231261,7.974018251050769,8.329011413319515,5.915210267506719,22.336743293503208,
AW kernel support pred0 [uv-pixels],(undefined),9.823731229408896,9.001891993496013,9.823731229408896,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.823731229408896,9.001891993496013,9.674635200149183,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.823731229408896,9.001891993496013,9.674635200149183,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),10.778843973652911,9.001655764800468,10.778843608321788,12.024348924914426,12.262643724874613,9.473318029324574,14.807575752506388,(undefined)
AW kernel support pred1 [uv-pixels],,10.462761027595358,9.015144068023794,10.462761027708373,12.741081554053691,10.457852734120616,14.891985370526369,,,10.462761027595358,9.015144068023794,10.295518678906463,12.741081554053691,10.457852734120616,14.891985370526369,,,10.462761027595358,9.015144068023794,10.295518678906463,12.741081554053691,10.457852734120616,14.891985370526369,,,10.467985379092672,9.003587372833826,,,10.467985379092672,9.003587372833826,,,10.778843973652911,9.013253709876537,10.778843608321788,12.024348924914426,12.262643724874613,10.286554718064751,21.800892593318814,
AW kernel support pred2 [uv-pixels],,10.462761027595358,9.120752732353388,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.120752732353388,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.120752732353388,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,9.028704139701594,,,10.856898358641022,9.028704139701594,,,10.778843973652911,9.105744643184991,10.778843608321788,12.024348924914426,12.262643724874613,10.769852018891296,24.08173791402648,
AW kernel support pred3 [uv-pixels],,10.462761027595358,9.92944314192976,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.92944314192976,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.92944314192976,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,9.227838768748084,,,10.856898358641022,9.227838768748084,,,10.778843973652911,9.817892850515804,10.778843608321788,12.024348924914426,12.262643724874613,10.769852018891296,24.08173791402648,
AW kernel support pred4 [uv-pixels],,10.462761027595358,14.938923389221335,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,14.938923389221335,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,14.938923389221335,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,10.69730783149259,,,10.856898358641022,10.69730783149259,,,10.778843973652911,14.328903644618126,10.778843608321788,12.024348924914426,12.262643724874613,10.769852018891296,24.08173791402648,
W kernel support bw0 [uv-pixels],(undefined),3.937727170292986,0.18455205923435844,3.937727170292986,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.937727170292986,0.18455205923435844,3.5494459083025345,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.937727170292986,0.18455205923435844,3.5494459083025345,9.018600732211581,3.161399749960686,11.864705149137563,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),3.1731796300291037,0.08981558727294352,(undefined),(undefined),5.93156618511112,0.17264561380323334,5.931565521231261,7.974018251050769,8.329011413319515,2.956984018341332,11.7585840842431,(undefined)
W kernel support bw1 [uv-pixels],,5.335669435091367,0.5223241974335304,5.3356694353129805,9.018600732211581,5.326038284555795,11.864705149137563,,,5.335669435091367,0.5223241974335304,4.999770481503318,9.018600732211581,5.326038284555795,11.864705149137563,,,5.335669435091367,0.5223241974335304,4.999770481503318,9.018600732211581,5.326038284555795,11.864705149137563,,,5.345906648726479,0.254136932091098,,,5.345906648726479,0.254136932091098,,,5.93156618511112,0.4886127695866622,5.931565521231261,7.974018251050769,8.329011413319515,4.981285774550603,19.856457837827552,
W kernel support bw2 [uv-pixels],,5.335669435091367,1.4792330461194296,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,1.4792330461194296,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,1.4792330461194296,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,0.7193736457952092,,,6.072251803891379,0.7193736457952092,,,5.93156618511112,1.3836854797576588,5.931565521231261,7.974018251050769,8.329011413319515,5.915210267506719,22.336743293503208,
W kernel support bw3 [uv-pixels],,5.335669435091367,4.194501294411046,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,4.194501294411046,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,4.194501294411046,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,2.037893113490042,,,6.072251803891379,2.037893113490042,,,5.93156618511112,3.923139052367293,5.931565521231261,7.974018251050769,8.329011413319515,5.915210267506719,22.336743293503208,
W kernel support bw4 [uv-pixels],,5.335669435091367,11.923566246263082,5.3356694353129805,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,11.923566246263082,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,5.335669435091367,11.923566246263082,4.999770481503318,9.018600732211581,6.693023109092252,11.864705149137563,,,6.072251803891379,5.7820753057801575,,,6.072251803891379,5.7820753057801575,,,5.93156618511112,11.149774870227228,5.931565521231261,7.974018251050769,8.329011413319515,5.915210267506719,22.336743293503208,
AW kernel support bw0 [uv-pixels],(undefined),9.823731229408896,9.001891993496013,9.823731229408896,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.823731229408896,9.001891993496013,9.674635200149183,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.823731229408896,9.001891993496013,9.674635200149183,12.741081554053691,9.53910102572834,14.891985370526369,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),9.543011524903008,9.000448146604544,(undefined),(undefined),10.778843973652911,9.001655764800468,10.778843608321788,12.024348924914426,12.262643724874613,9.473318029324574,14.807575752506388,(undefined)
AW kernel support bw1 [uv-pixels],,10.462761027595358,9.015144068023794,10.462761027708373,12.741081554053691,10.457852734120616,14.891985370526369,,,10.462761027595358,9.015144068023794,10.295518678906463,12.741081554053691,10.457852734120616,14.891985370526369,,,10.462761027595358,9.015144068023794,10.295518678906463,12.741081554053691,10.457852734120616,14.891985370526369,,,10.467985379092672,9.003587372833826,,,10.467985379092672,9.003587372833826,,,10.778843973652911,9.013253709876537,10.778843608321788,12.024348924914426,12.262643724874613,10.286554718064751,21.800892593318814,
AW kernel support bw2 [uv-pixels],,10.462761027595358,9.120752732353388,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.120752732353388,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.120752732353388,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,9.028704139701594,,,10.856898358641022,9.028704139701594,,,10.778843973652911,9.105744643184991,10.778843608321788,12.024348924914426,12.262643724874613,10.769852018891296,24.08173791402648,
AW kernel support bw3 [uv-pixels],,10.462761027595358,9.92944314192976,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.92944314192976,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,9.92944314192976,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,9.227838768748084,,,10.856898358641022,9.227838768748084,,,10.778843973652911,9.817892850515804,10.778843608321788,12.024348924914426,12.262643724874613,10.769852018891296,24.08173791402648,
AW kernel support bw4 [uv-pixels],,10.462761027595358,14.938923389221335,10.462761027708373,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,14.938923389221335,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.462761027595358,14.938923389221335,10.295518678906463,12.741081554053691,11.215906487611374,14.891985370526369,,,10.856898358641022,10.69730783149259,,,10.856898358641022,10.69730783149259,,,10.778843973652911,14.328903644618126,10.778843608321788,12.024348924914426,12.262643724874613,10.769852018891296,24.08173791402648,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.12042615836528642,79.36398609957817,0.0476103210021174,79.36398609957817,2.939538281087088,2.3516306248696703,1.5235302720677568,1.1158668984871267,0.12042615836528642,79.36398609957817,0.0476103210021174,52.910019659911455,2.939538281087088,2.3516306248696703,1.5235302720677568,1.1158668984871267,0.12042615836528642,79.36398609957817,0.0476103210021174,52.910019659911455,2.939538281087088,2.3516306248696703,1.5235302720677568,1.1158668984871267,0.12042615836528642,48.63260811716895,0.029174618567193396,(undefined),0.12042615836528642,48.63260811716895,0.029174618567193396,(undefined),0.12042615836528642,111.4420112098409,0.06685387375058818,111.4420112098409,4.127666323740333,20.638331618701667,3.3021330589922666,0.12042615836528642,0.19586095825367633
Snapshot vis size1 [GB],0.03398868817346561,22.399433913349732,0.013437382511788476,22.399433913349732,0.8296457461241586,0.6637165968993269,0.4299962403772312,0.31493865262004245,0.03398868817346561,22.399433913349732,0.013437382511788476,14.933152264292845,0.8296457461241586,0.6637165968993269,0.4299962403772312,0.31493865262004245,0.03398868817346561,22.399433913349732,0.013437382511788476,14.933152264292845,0.8296457461241586,0.6637165968993269,0.4299962403772312,0.31493865262004245,0.03398868817346561,13.725909509983037,0.008234149677450587,,0.03398868817346561,13.725909509983037,0.008234149677450587,,0.03398868817346561,31.453031632428033,0.018868620397277217,31.453031632428033,1.1649791495978332,5.824895747989166,0.9319833196782665,0.03398868817346561,0.0552791613201481
Snapshot vis size2 [GB],0.038451568017817614,25.340588382936613,0.015201776102581013,25.340588382936613,0.9385822622801557,0.7508658098241247,0.4864568352825924,0.3562916274042426,0.038451568017817614,25.340588382936613,0.015201776102581013,16.893947688724097,0.9385822622801557,0.7508658098241247,0.4864568352825924,0.3562916274042426,0.038451568017817614,25.340588382936613,0.015201776102581013,16.893947688724097,0.9385822622801557,0.7508658098241247,0.4864568352825924,0.3562916274042426,0.038451568017817614,15.528188097049103,0.009315333524362346,,0.038451568017817614,15.528188097049103,0.009315333524362346,,0.038451568017817614,35.582967456950804,0.021346161902614794,35.582967456950804,1.3179465703848878,6.589732851924439,1.0543572563079102,0.038451568017817614,0.06253758369906678
Snapshot vis size3 [GB],0.048345876000358404,31.86119596396916,0.01911347755961569,31.86119596396916,1.180097041746276,0.9440776333970208,0.6116312819077021,0.44797213030349287,0.048345876000358404,31.86119596396916,0.01911347755961569,21.2410765599242,1.180097041746276,0.9440776333970208,0.6116312819077021,0.44797213030349287,0.048345876000358404,31.86119596396916,0.01911347755961569,21.2410765599242,1.180097041746276,0.9440776333970208,0.6116312819077021,0.44797213030349287,0.048345876000358404,19.523881468300807,0.011712343154955803,,0.048345876000358404,19.523881468300807,0.011712343154955803,,0.048345876000358404,44.73913083600095,0.026838928803870468,44.73913083600095,1.657078885245986,8.28539442622993,1.325663108196789,0.048345876000358404,0.07862967423008926
Snapshot vis size4 [GB],0.018883709443072,12.444858111329117,0.007465649328182283,12.444858111329117,0.46094127347698244,0.368753018781586,0.23890077850183306,0.17497615612927228,0.018883709443072,12.444858111329117,0.007465649328182283,8.296681148412377,0.46094127347698244,0.368753018781586,0.23890077850183306,0.17497615612927228,0.018883709443072,12.444858111329117,0.007465649328182283,8.296681148412377,0.46094127347698244,0.368753018781586,0.23890077850183306,0.17497615612927228,0.018883709443072,7.6259514843755705,0.004574795273832643,,0.018883709443072,7.6259514843755705,0.004574795273832643,,0.018883709443072,17.474928935745456,0.010483180267368176,17.474928935745456,0.6472485097385117,3.2362425486925583,0.5177988077908093,0.018883709443072,0.030712442189555204
Facet size [GB],(undefined),0.5767435262300302,0.9691506442136999,0.5767435262300302,2.6920851228158327,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.5767435262300302,0.9691506442136999,0.5024076939603819,2.6920851228158327,0.4307336196505332,2.6920851228158327,(undefined),(undefined),0.5767435262300302,0.9691506442136999,0.5024076939603819,2.6920851228158327,0.4307336196505332,2.6920851228158327,(undefined),(undefined),1.1421750263487866,0.9792309896680268,(undefined),(undefined),1.1421750263487866,0.9792309896680268,(undefined),(undefined),1.1320650587642163,0.9705633219857813,1.1320650587642163,2.6960092277382826,2.6960092277382826,0.43136147643812517,2.6960092277382826,(undefined)
Image size [GB],2.692085122815833,19.625300545327423,0.9691506442136997,19.625300545327423,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.6960092277382826,19.653907270212073,0.9705633219857817,19.653907270212073,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826
Image cube size [GB],1411427.9248708675,6280.096174504775,155.06410307419196,6280.096174504775,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,44107.12265221461,713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),706742.6429962243,3144.6251632339317,77.64506575886253,3144.6251632339317,215.68073821906262,215.68073821906262,5392.018455476566,706742.6429962243,176685.6607490561
