,hpso01 (Ingest) [Nf_max=65536] [Na=512],hpso01 (RCAL) [Nf_max=65536] [Na=512],hpso01 (FastImg) [Nf_max=65536] [Na=512],hpso01 (ICAL) [Nf_max=65536] [Na=512],hpso01 (DPrepA) [Nf_max=65536] [Na=512],hpso01 (DPrepB) [Nf_max=65536] [Na=512],hpso01 (DPrepC) [Nf_max=65536] [Na=512],hpso01 (DPrepD) [Nf_max=65536] [Na=512],hpso02a (Ingest) [Nf_max=65536] [Na=512],hpso02a (RCAL) [Nf_max=65536] [Na=512],hpso02a (FastImg) [Nf_max=65536] [Na=512],hpso02a (ICAL) [Nf_max=65536] [Na=512],hpso02a (DPrepA) [Nf_max=65536] [Na=512],hpso02a (DPrepB) [Nf_max=65536] [Na=512],hpso02a (DPrepC) [Nf_max=65536] [Na=512],hpso02a (DPrepD) [Nf_max=65536] [Na=512],hpso02b (Ingest) [Nf_max=65536] [Na=512],hpso02b (RCAL) [Nf_max=65536] [Na=512],hpso02b (FastImg) [Nf_max=65536] [Na=512],hpso02b (ICAL) [Nf_max=65536] [Na=512],hpso02b (DPrepA) [Nf_max=65536] [Na=512],hpso02b (DPrepB) [Nf_max=65536] [Na=512],hpso02b (DPrepC) [Nf_max=65536] [Na=512],hpso02b (DPrepD) [Nf_max=65536] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Na=512],hpso05a (RCAL) [Na=512],hpso05a (FastImg) [Na=512],hpso05a (PST) [Na=512],max_low (Ingest) [Na=512],max_low (RCAL) [Na=512],max_low (FastImg) [Na=512],max_low (ICAL) [Na=512],max_low (DPrepA) [Na=512],max_low (DPrepA_Image) [Na=512],max_low (DPrepB) [Na=512],max_low (DPrepC) [Na=512],max_low (DPrepD) [Na=512]
Delta W earth4 [lambda],22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,58.001809514676474,58.001809514676474,58.001809514676474,,58.001809514676474,58.001809514676474,58.001809514676474,,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W snapshot4 [lambda],379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,1.660104632481867,,995.7450173095559,995.7450173095559,1.660104632481867,,414.893757212315,414.893757212315,0.6917102635341112,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max4 [lambda],379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,58.001809514676474,,995.7450173095559,995.7450173095559,58.001809514676474,,414.893757212315,414.893757212315,24.167420631115196,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W stack [lambda],(undefined),2.2653280672080394,15.704846683672654,2.26532806721066,5.193550671926364,8.500832949766846,7.886575822235041,(undefined),(undefined),2.2653280672080394,15.704846683672654,3.2465045856710875,5.193550671926364,8.500832949766846,7.886575822235041,(undefined),(undefined),2.2653280672080394,15.704846683672654,3.2465045856710875,5.193550671926364,8.500832949766846,7.886575822235041,(undefined),(undefined),13.116207380619139,58.001802386597745,(undefined),(undefined),13.116207380619139,58.001802386597745,(undefined),(undefined),2.314289111590191,16.096031952214247,2.314289111591028,5.247623388470186,5.716164223691331,8.637977356504939,19.518412310452412,(undefined)
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),1.3581201072478302,15.152462172657435,1.3581201072478302,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),9.571439561603464,0.18455205923435844,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,(undefined),(undefined),9.571439561603464,0.18455205923435844,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,(undefined),(undefined),9.571439561603464,0.18455205923435844,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,(undefined),(undefined),8.426972114813074,0.08981558727294352,(undefined),(undefined),8.426972114813074,0.08981558727294352,(undefined),(undefined),8.501936139686457,0.17264561380323334,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,(undefined)
W kernel support pred1 [uv-pixels],,9.571439561603464,0.5223241974335304,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,0.5223241974335304,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,0.5223241974335304,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,8.426972114813074,0.254136932091098,,,8.426972114813074,0.254136932091098,,,8.501936139686457,0.4886127695866622,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,
W kernel support pred2 [uv-pixels],,9.571439561603464,1.4792330461194296,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,1.4792330461194296,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,1.4792330461194296,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,8.426972114813074,0.7193736457952092,,,8.426972114813074,0.7193736457952092,,,8.501936139686457,1.3836854797576588,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,
W kernel support pred3 [uv-pixels],,9.571439561603464,4.194501294411046,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,4.194501294411046,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,4.194501294411046,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,8.426972114813074,2.037893113490042,,,8.426972114813074,2.037893113490042,,,8.501936139686457,3.923139052367293,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,
W kernel support pred4 [uv-pixels],,9.571439561603464,9.215421119976833,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,9.215421119976833,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,9.215421119976833,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,8.426972114813074,5.7820751819562535,,,8.426972114813074,5.7820751819562535,,,8.501936139686457,8.205728524520316,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,
AW kernel support pred0 [uv-pixels],(undefined),13.13820593846161,9.001891993496013,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,(undefined),(undefined),13.13820593846161,9.001891993496013,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,(undefined),(undefined),13.13820593846161,9.001891993496013,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,(undefined),(undefined),12.329390050762328,9.000448146604544,(undefined),(undefined),12.329390050762328,9.000448146604544,(undefined),(undefined),12.380747882228546,9.001655764800468,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,(undefined)
AW kernel support pred1 [uv-pixels],,13.13820593846161,9.015144068023794,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.015144068023794,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.015144068023794,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,12.329390050762328,9.003587372833826,,,12.329390050762328,9.003587372833826,,,12.380747882228546,9.013253709876537,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,
AW kernel support pred2 [uv-pixels],,13.13820593846161,9.120752732353388,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.120752732353388,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.120752732353388,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,12.329390050762328,9.028704139701594,,,12.329390050762328,9.028704139701594,,,12.380747882228546,9.105744643184991,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,
AW kernel support pred3 [uv-pixels],,13.13820593846161,9.92944314192976,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.92944314192976,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.92944314192976,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,12.329390050762328,9.227838768748084,,,12.329390050762328,9.227838768748084,,,12.380747882228546,9.817892850515804,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,
AW kernel support pred4 [uv-pixels],,13.13820593846161,12.881148489886879,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,12.881148489886879,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,12.881148489886879,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,12.329390050762328,10.697307764563682,,,12.329390050762328,10.697307764563682,,,12.380747882228546,12.179243844267441,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,
W kernel support bw0 [uv-pixels],(undefined),9.571439561603464,0.18455205923435844,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,(undefined),(undefined),9.571439561603464,0.18455205923435844,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,(undefined),(undefined),9.571439561603464,0.18455205923435844,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,(undefined),(undefined),8.426972114813074,0.08981558727294352,(undefined),(undefined),8.426972114813074,0.08981558727294352,(undefined),(undefined),8.501936139686457,0.17264561380323334,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,(undefined)
W kernel support bw1 [uv-pixels],,9.571439561603464,0.5223241974335304,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,0.5223241974335304,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,0.5223241974335304,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,8.426972114813074,0.254136932091098,,,8.426972114813074,0.254136932091098,,,8.501936139686457,0.4886127695866622,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,
W kernel support bw2 [uv-pixels],,9.571439561603464,1.4792330461194296,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,1.4792330461194296,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,1.4792330461194296,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,8.426972114813074,0.7193736457952092,,,8.426972114813074,0.7193736457952092,,,8.501936139686457,1.3836854797576588,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,
W kernel support bw3 [uv-pixels],,9.571439561603464,4.194501294411046,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,4.194501294411046,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,4.194501294411046,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,8.426972114813074,2.037893113490042,,,8.426972114813074,2.037893113490042,,,8.501936139686457,3.923139052367293,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,
W kernel support bw4 [uv-pixels],,9.571439561603464,9.215421119976833,9.571439561611815,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,9.215421119976833,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,9.571439561603464,9.215421119976833,6.812289423813836,4.0042653679769,5.802482378701222,5.483832971092437,,,8.426972114813074,5.7820751819562535,,,8.426972114813074,5.7820751819562535,,,8.501936139686457,8.205728524520316,8.501936139688775,3.5284599578962794,3.7629388966970407,5.134227563513904,9.489765063065509,
AW kernel support bw0 [uv-pixels],(undefined),13.13820593846161,9.001891993496013,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,(undefined),(undefined),13.13820593846161,9.001891993496013,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,(undefined),(undefined),13.13820593846161,9.001891993496013,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,(undefined),(undefined),12.329390050762328,9.000448146604544,(undefined),(undefined),12.329390050762328,9.000448146604544,(undefined),(undefined),12.380747882228546,9.001655764800468,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,(undefined)
AW kernel support bw1 [uv-pixels],,13.13820593846161,9.015144068023794,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.015144068023794,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.015144068023794,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,12.329390050762328,9.003587372833826,,,12.329390050762328,9.003587372833826,,,12.380747882228546,9.013253709876537,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,
AW kernel support bw2 [uv-pixels],,13.13820593846161,9.120752732353388,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.120752732353388,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.120752732353388,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,12.329390050762328,9.028704139701594,,,12.329390050762328,9.028704139701594,,,12.380747882228546,9.105744643184991,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,
AW kernel support bw3 [uv-pixels],,13.13820593846161,9.92944314192976,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.92944314192976,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,9.92944314192976,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,12.329390050762328,9.227838768748084,,,12.329390050762328,9.227838768748084,,,12.380747882228546,9.817892850515804,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,
AW kernel support bw4 [uv-pixels],,13.13820593846161,12.881148489886879,13.138205938467696,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,12.881148489886879,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,13.13820593846161,12.881148489886879,11.28748365198399,9.850590902944818,10.708351962610223,10.539090285923187,,,12.329390050762328,10.697307764563682,,,12.329390050762328,10.697307764563682,,,12.380747882228546,12.179243844267441,12.380747882230141,9.666955553558598,9.754983810354354,10.361481200771726,13.078824142566436,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],1.938197383453901,1277.3227369097463,0.7662637490419525,1277.3227369097463,47.31036414600006,37.84829131680005,24.52043996934248,4.489826654542691,1.938197383453901,1277.3227369097463,0.7662637490419525,851.559686494953,47.31036414600006,37.84829131680005,24.52043996934248,4.489826654542691,1.938197383453901,1277.3227369097463,0.7662637490419525,851.559686494953,47.31036414600006,37.84829131680005,24.52043996934248,4.489826654542691,1.938197383453901,782.7169369408924,0.46955055394758505,(undefined),1.938197383453901,782.7169369408924,0.46955055394758505,(undefined),1.938197383453901,1793.6021331725574,1.0759788814661595,1793.6021331725574,66.43267689547434,332.1633844773717,53.14614151637947,1.938197383453901,3.1522818792953893
Snapshot vis size1 [GB],0.5470305403666433,360.50742455816413,0.21626779412673736,360.50742455816413,13.352723662029764,10.682178929623813,6.920569412055595,1.2671941062113519,0.5470305403666433,360.50742455816413,0.21626779412673736,240.34144274184703,13.352723662029764,10.682178929623813,6.920569412055595,1.2671941062113519,0.5470305403666433,360.50742455816413,0.21626779412673736,240.34144274184703,13.352723662029764,10.682178929623813,6.920569412055595,1.2671941062113519,0.5470305403666433,220.9114884913805,0.1325244247299921,,0.5470305403666433,220.9114884913805,0.1325244247299921,,0.5470305403666433,506.2204461156133,0.30368078812625693,506.2204461156133,18.749743163606066,93.74871581803035,14.999794530884854,0.5470305403666433,0.8896898089636434
Snapshot vis size2 [GB],0.6188583073103874,407.8438004308853,0.24466480593445347,407.8438004308853,15.106001134650695,12.084800907720556,7.829273789902511,1.4335828472721885,0.6188583073103874,407.8438004308853,0.24466480593445347,271.89944154135475,15.106001134650695,12.084800907720556,7.829273789902511,1.4335828472721885,0.6188583073103874,407.8438004308853,0.24466480593445347,271.89944154135475,15.106001134650695,12.084800907720556,7.829273789902511,1.4335828472721885,0.6188583073103874,249.91823992416036,0.14992552538422546,,0.6188583073103874,249.91823992416036,0.14992552538422546,,0.6188583073103874,572.6896494646255,0.34355555062161136,572.6896494646255,21.211675510761502,106.05837755380752,16.9693404086092,0.6188583073103874,1.0065104022117521
Snapshot vis size3 [GB],0.7781021302734848,512.7896421287635,0.3076216388334998,512.7896421287635,18.993057900231403,15.194446320185122,9.843892442671994,1.8024705400400383,0.7781021302734848,512.7896421287635,0.3076216388334998,341.86425581484303,18.993057900231403,15.194446320185122,9.843892442671994,1.8024705400400383,0.7781021302734848,512.7896421287635,0.3076216388334998,341.86425581484303,18.993057900231403,15.194446320185122,9.843892442671994,1.8024705400400383,0.7781021302734848,314.22687969454216,0.18850416857267452,,0.7781021302734848,314.22687969454216,0.18850416857267452,,0.7781021302734848,720.0534128250862,0.43195882263867114,720.0534128250862,26.669836546793665,133.34918273396832,21.33586923743493,0.7781021302734848,1.265504363199232
Snapshot vis size4 [GB],0.3039236385955841,200.29362188627337,0.1201558049354692,200.29362188627337,7.418613881787025,5.934891105429621,3.844985757935014,0.7040379195437649,0.3039236385955841,200.29362188627337,0.1201558049354692,133.53083675082598,7.418613881787025,5.934891105429621,3.844985757935014,0.7040379195437649,0.3039236385955841,200.29362188627337,0.1201558049354692,133.53083675082598,7.418613881787025,5.934891105429621,3.844985757935014,0.7040379195437649,0.3039236385955841,122.7357860949895,0.07362898850168444,,0.3039236385955841,122.7357860949895,0.07362898850168444,,0.3039236385955841,281.25003735955687,0.16872142099606735,281.25003735955687,10.417133495319039,52.0856674765952,8.333706796255232,0.3039236385955841,0.4943010380744161
Facet size [GB],(undefined),19.62530054532742,0.9691506442136999,19.62530054532742,2.6920851228158327,2.6920851228158327,2.6920851228158327,(undefined),(undefined),19.62530054532742,0.9691506442136999,8.722355797923296,2.6920851228158327,2.6920851228158327,2.6920851228158327,(undefined),(undefined),19.62530054532742,0.9691506442136999,8.722355797923296,2.6920851228158327,2.6920851228158327,2.6920851228158327,(undefined),(undefined),19.829427540777544,0.9792309896680268,(undefined),(undefined),19.829427540777544,0.9792309896680268,(undefined),(undefined),19.653907270212084,0.9705633219857813,19.653907270212084,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,(undefined)
Image size [GB],2.692085122815833,19.625300545327423,0.9691506442136997,19.625300545327423,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423,0.9691506442136997,8.722355797923298,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.7200860824111843,19.82942754077754,0.9792309896680266,(undefined),2.6960092277382826,19.653907270212073,0.9705633219857817,19.653907270212073,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826
Image cube size [GB],1411427.9248708675,6280.096174504775,155.06410307419196,6280.096174504775,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,1411427.9248708675,6280.096174504775,155.06410307419196,2791.153855335455,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),713054.2459875975,3172.7084065244067,78.33847917344212,(undefined),706742.6429962243,3144.6251632339317,77.64506575886253,3144.6251632339317,215.68073821906262,215.68073821906262,5392.018455476566,706742.6429962243,176685.6607490561
Calibration output [GB],0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,0.3145728,0.0,(undefined),0.0,0.3145728,0.0,(undefined),0.0,2.8311552,0.0,19.9163904,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,167.44448,0.0,(undefined),0.0,167.44448,0.0,(undefined),0.0,71.76192,0.0,31037.0304,0.0,0.0,0.0,0.0,0.0
